t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713626786,92;0,00;7,20;0,00;8,00;60,00
1713626786,92;0,00;7,20;0,00;8,00;60,00
1713626786,92;0,00;7,20;0,13;8,00;60,00
1713626786,92;0,00;7,20;0,26;8,00;60,00
1713626786,92;0,00;7,20;0,26;8,00;60,00
1713626786,92;0,00;7,20;0,29;8,00;60,00
1713626786,92;0,00;7,20;0,35;8,00;60,00
1713626786,92;0,00;7,20;0,44;8,00;60,00
1713626786,92;0,00;7,20;0,54;8,00;60,00
1713626786,92;0,00;7,20;0,62;8,00;60,00
1713626786,92;0,00;7,20;0,69;8,00;60,00
1713626786,92;0,00;7,20;0,78;8,00;60,00
1713626786,92;0,00;7,20;0,88;8,00;60,00
1713626786,92;0,00;7,20;0,98;8,00;60,00
1713626786,92;0,00;7,20;1,07;8,00;60,00
1713626786,92;0,00;8,32;1,16;8,00;60,00
1713626786,92;0,00;8,34;1,27;8,00;60,00
1713626786,92;0,00;8,34;1,36;8,00;60,00
1713626786,92;0,00;8,34;1,46;8,00;60,00
1713626786,92;0,00;8,34;1,55;8,00;60,00
1713626786,92;0,00;8,34;1,65;8,00;60,00
1713626786,92;0,00;8,34;1,75;8,00;60,00
1713626786,92;0,00;8,34;1,86;8,00;60,00
1713626786,92;0,00;8,34;1,96;8,00;60,00
1713626786,92;0,00;8,34;2,06;8,00;60,00
1713626786,92;0,00;8,34;2,15;8,00;60,00
1713626786,92;0,00;8,34;2,25;8,00;60,00
1713626786,92;0,00;8,34;2,36;8,00;60,00
1713626786,92;0,00;8,34;2,46;8,00;60,00
1713626786,92;0,00;8,34;2,52;8,00;60,00
1713626786,92;0,00;8,34;2,58;8,00;60,00
