t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,01;53,37;7,20;0,00;8,00;60,00
1,01;70,05;7,20;1,03;8,00;60,00
1,99;70,95;7,20;2,19;8,00;60,00
3,00;61,69;7,20;3,30;8,00;60,00
4,01;50,84;7,20;4,25;8,00;60,00
5,02;48,57;7,20;5,09;8,00;60,00
6,06;56,99;7,20;6,00;8,00;60,00
7,07;68,22;7,20;7,06;8,00;60,00
8,07;71,78;7,20;8,22;8,00;60,00
9,09;64,24;7,20;9,38;8,00;60,00
10,11;52,66;-2,86;10,38;8,00;60,00
11,09;48,06;-2,86;11,20;8,00;60,00
12,13;54,58;-2,86;12,08;8,00;60,00
13,14;66,20;-2,86;13,10;8,00;60,00
14,14;72,00;-2,86;14,26;8,00;60,00
15,14;66,65;-2,86;15,41;8,00;60,00
16,16;55,14;-2,86;16,44;8,00;60,00
17,15;48,11;-2,86;17,29;8,00;60,00
18,16;52,32;-2,86;18,14;8,00;60,00
19,17;63,73;-2,86;19,11;8,00;60,00
20,21;71,65;-18,53;20,29;8,00;60,00
21,21;68,65;-18,53;21,46;8,00;60,00
22,23;57,31;-18,53;22,54;8,00;60,00
23,26;48,64;-18,53;23,44;8,00;60,00
24,26;50,77;-18,53;24,27;8,00;60,00
25,30;61,77;-18,53;25,24;8,00;60,00
26,30;71,02;-18,53;26,35;8,00;60,00
27,31;69,94;-18,53;27,54;8,00;60,00
28,31;59,73;-18,53;28,62;8,00;60,00
29,30;49,72;-18,53;29,53;8,00;60,00
30,31;49,28;-45,19;30,36;8,00;60,00
31,32;58,76;-45,19;31,26;8,00;60,00
32,32;69,42;-45,19;32,34;8,00;60,00
33,35;71,34;-45,19;33,55;8,00;60,00
