t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,45;10,86;7,20;0,04;8,00;60,00
1,47;11,99;7,20;0,23;8,00;60,00
2,48;11,22;7,20;0,43;8,00;60,00
3,49;9,33;7,20;0,60;8,00;60,00
4,50;8,05;7,20;0,75;8,00;60,00
5,50;8,57;7,20;0,89;8,00;60,00
6,50;10,41;7,20;1,05;8,00;60,00
7,50;11,87;7,20;1,23;8,00;60,00
8,52;11,58;7,20;1,43;8,00;60,00
9,51;9,83;7,20;1,61;8,00;60,00
10,52;8,22;7,57;1,76;8,00;60,00
11,51;8,26;7,57;1,90;8,00;60,00
12,52;9,89;7,57;2,05;8,00;60,00
13,51;11,62;7,57;2,23;8,00;60,00
14,53;11,85;7,57;2,43;8,00;60,00
15,55;10,34;7,57;2,61;8,00;60,00
16,54;8,53;7,57;2,77;8,00;60,00
17,53;8,06;7,57;2,91;8,00;60,00
18,53;9,37;7,57;3,05;8,00;60,00
19,56;11,29;7,57;3,23;8,00;60,00
20,56;11,98;6,96;3,42;8,00;60,00
21,55;10,86;6,96;3,61;8,00;60,00
22,56;8,94;6,96;3,78;8,00;60,00
23,58;8,00;6,96;3,92;8,00;60,00
24,59;8,92;6,96;4,06;8,00;60,00
25,58;10,84;6,96;4,23;8,00;60,00
26,56;11,98;6,96;4,42;8,00;60,00
27,56;11,31;6,96;4,61;8,00;60,00
28,57;9,44;6,96;4,78;8,00;60,00
29,60;8,07;6,96;4,93;8,00;60,00
30,60;8,52;5,98;5,07;8,00;60,00
31,58;10,32;5,98;5,23;8,00;60,00
32,59;11,84;5,98;5,41;8,00;60,00
33,58;11,66;5,98;5,61;8,00;60,00
34,58;9,96;5,98;5,79;8,00;60,00
35,58;8,30;5,98;5,94;8,00;60,00
36,59;8,21;5,98;6,08;8,00;60,00
37,61;9,78;5,98;6,23;8,00;60,00
38,59;11,55;5,98;6,40;8,00;60,00
39,60;11,89;5,98;6,60;8,00;60,00
40,60;10,49;5,98;6,79;8,00;60,00
41,61;8,62;3,43;6,95;8,00;60,00
42,61;8,03;3,43;7,09;8,00;60,00
43,61;9,26;3,43;7,23;8,00;60,00
44,61;11,16;3,43;7,40;8,00;60,00
45,60;12,00;3,43;7,59;8,00;60,00
46,61;10,99;3,43;7,79;8,00;60,00
47,61;9,09;3,43;7,95;8,00;60,00
48,60;8,01;3,43;8,09;8,00;60,00
49,61;8,77;3,43;8,24;8,00;60,00
50,61;10,66;3,43;8,40;8,00;60,00
51,61;11,95;-4,19;8,59;8,00;60,00
52,60;11,44;-4,19;8,78;8,00;60,00
53,60;9,61;-4,19;8,96;8,00;60,00
54,61;8,14;-4,19;9,10;8,00;60,00
55,61;8,38;-4,19;9,24;8,00;60,00
56,60;10,11;-4,19;9,40;8,00;60,00
57,60;11,74;-4,19;9,58;8,00;60,00
58,61;11,77;-4,19;9,77;8,00;60,00
59,62;10,15;-4,19;9,96;8,00;60,00
