t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714060670,65;0,00;0,80;0,00;8,00;60,00
1714060670,65;0,00;0,80;0,00;8,00;60,00
1714060670,65;0,00;0,80;0,00;8,00;60,00
1714060670,65;0,00;1,19;0,00;8,00;60,00
1714060670,65;0,00;1,66;0,00;8,00;60,00
1714060670,65;0,00;2,17;0,00;8,00;60,00
1714060670,65;0,00;2,68;0,01;8,00;60,00
1714060670,65;0,00;3,19;0,01;8,00;60,00
1714060670,65;0,00;3,67;0,01;8,00;60,00
1714060670,65;0,00;4,18;0,01;8,00;60,00
1714060670,65;0,00;4,66;0,01;8,00;60,00
1714060670,65;0,00;5,17;0,01;8,00;60,00
1714060670,65;0,00;5,68;0,02;8,00;60,00
1714060670,65;0,00;6,18;0,02;8,00;60,00
1714060670,65;0,00;6,67;0,02;8,00;60,00
1714060670,65;0,00;7,18;0,02;8,00;60,00
1714060670,65;0,00;7,68;0,02;8,00;60,00
1714060670,65;0,00;8,72;0,03;8,00;60,00
1714060670,65;0,00;8,75;0,04;8,00;60,00
1714060670,65;0,00;8,78;0,06;8,00;60,00
1714060670,65;0,00;8,81;0,08;8,00;60,00
1714060670,65;0,00;8,82;0,11;8,00;60,00
1714060670,65;0,00;8,84;0,15;8,00;60,00
1714060670,65;0,00;8,84;0,19;8,00;60,00
1714060670,65;0,00;8,85;0,23;8,00;60,00
1714060670,65;0,00;8,86;0,27;8,00;60,00
1714060670,65;0,00;8,86;0,31;8,00;60,00
1714060670,65;0,00;8,86;0,36;8,00;60,00
1714060670,65;0,00;8,86;0,40;8,00;60,00
1714060670,65;0,00;8,86;0,45;8,00;60,00
1714060670,65;0,00;8,86;0,49;8,00;60,00
1714060670,65;0,00;8,86;0,54;8,00;60,00
1714060670,65;0,00;8,86;0,59;8,00;60,00
1714060670,65;0,00;8,92;0,59;8,00;60,00
1714060670,65;0,00;8,91;0,64;8,00;60,00
1714060670,65;0,00;8,92;0,68;8,00;60,00
1714060670,65;0,00;8,91;0,73;8,00;60,00
1714060670,65;0,00;8,92;0,77;8,00;60,00
1714060670,65;0,00;8,91;0,82;8,00;60,00
1714060670,65;0,00;8,91;0,87;8,00;60,00
1714060670,65;0,00;8,91;0,92;8,00;60,00
1714060670,65;0,00;8,91;0,96;8,00;60,00
1714060670,65;0,00;8,91;1,01;8,00;60,00
1714060670,65;0,00;8,91;1,05;8,00;60,00
1714060670,65;0,00;8,91;1,11;8,00;60,00
1714060670,65;0,00;8,90;1,15;8,00;60,00
1714060670,65;0,00;8,90;1,20;8,00;60,00
1714060670,65;0,00;8,90;1,25;8,00;60,00
1714060670,65;0,00;8,89;1,30;8,00;60,00
1714060670,65;0,00;8,90;1,34;8,00;60,00
1714060670,65;0,00;8,90;1,39;8,00;60,00
1714060670,65;0,00;8,90;1,44;8,00;60,00
1714060670,65;0,00;8,89;1,48;8,00;60,00
1714060670,65;0,00;8,89;1,53;8,00;60,00
1714060670,65;0,00;8,89;1,58;8,00;60,00
1714060670,65;0,00;8,96;1,58;8,00;60,00
1714060670,65;0,00;8,95;1,63;8,00;60,00
1714060670,65;0,00;8,95;1,68;8,00;60,00
1714060670,65;0,00;8,95;1,72;8,00;60,00
1714060670,65;0,00;8,95;1,77;8,00;60,00
1714060670,65;0,00;8,95;1,82;8,00;60,00
1714060670,65;0,00;8,95;1,87;8,00;60,00
1714060670,65;0,00;8,94;1,91;8,00;60,00
1714060670,65;0,00;8,95;1,96;8,00;60,00
1714060670,65;0,00;8,94;2,01;8,00;60,00
1714060670,65;0,00;8,94;2,06;8,00;60,00
1714060670,65;0,00;8,94;2,11;8,00;60,00
1714060670,65;0,00;8,94;2,15;8,00;60,00
1714060670,65;0,00;8,93;2,20;8,00;60,00
1714060670,65;0,00;8,93;2,25;8,00;60,00
1714060670,65;0,00;8,93;2,30;8,00;60,00
1714060670,65;0,00;8,93;2,35;8,00;60,00
1714060670,65;0,00;8,92;2,39;8,00;60,00
1714060670,65;0,00;8,92;2,44;8,00;60,00
1714060670,65;0,00;8,92;2,49;8,00;60,00
1714060670,65;0,00;8,99;2,49;8,00;60,00
1714060670,65;0,00;8,99;2,54;8,00;60,00
1714060670,65;0,00;8,99;2,59;8,00;60,00
1714060670,65;0,00;8,99;2,63;8,00;60,00
1714060670,65;0,00;8,99;2,68;8,00;60,00
1714060670,65;0,00;8,98;2,73;8,00;60,00
1714060670,65;0,00;8,98;2,78;8,00;60,00
1714060670,65;0,00;8,98;2,83;8,00;60,00
1714060670,65;0,00;8,98;2,87;8,00;60,00
1714060670,65;0,00;8,97;2,92;8,00;60,00
1714060670,65;0,00;8,97;2,97;8,00;60,00
1714060670,65;0,00;8,97;3,02;8,00;60,00
1714060670,65;0,00;8,96;3,07;8,00;60,00
1714060670,65;0,00;8,96;3,11;8,00;60,00
1714060670,65;0,00;8,96;3,16;8,00;60,00
1714060670,65;0,00;8,95;3,21;8,00;60,00
1714060670,65;0,00;8,96;3,26;8,00;60,00
