t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714404012,15;0,00;0,80;0,00;8,00;60,00
1714404012,15;0,00;0,80;0,00;8,00;60,00
1714404012,15;0,00;0,80;0,00;8,00;60,00
1714404012,15;0,00;0,80;0,00;8,00;60,00
1714404012,15;0,00;0,96;0,00;8,00;60,00
1714404012,15;0,00;0,96;0,00;8,00;60,00
1714404012,15;0,00;1,06;0,00;8,00;60,00
1714404012,15;0,00;1,49;0,00;8,00;60,00
1714404012,15;0,00;1,50;0,00;8,00;60,00
1714404012,15;0,00;1,66;0,01;8,00;60,00
1714404012,15;0,00;2,01;0,01;8,00;60,00
1714404012,15;0,00;2,02;0,01;8,00;60,00
1714404012,15;0,00;2,23;0,01;8,00;60,00
1714404012,15;0,00;2,50;0,01;8,00;60,00
1714404012,15;0,00;2,51;0,01;8,00;60,00
1714404012,15;0,00;2,80;0,01;8,00;60,00
1714404012,15;0,00;3,04;0,01;8,00;60,00
1714404012,15;0,00;3,06;0,01;8,00;60,00
1714404012,15;0,00;3,43;0,01;8,00;60,00
1714404012,15;0,00;3,58;0,01;8,00;60,00
1714404012,15;0,00;3,59;0,01;8,00;60,00
1714404012,15;0,00;3,96;0,02;8,00;60,00
1714404012,15;0,00;4,08;0,02;8,00;60,00
1714404012,15;0,00;4,08;0,02;8,00;60,00
1714404012,15;0,00;4,53;0,02;8,00;60,00
1714404012,15;0,00;4,60;0,02;8,00;60,00
1714404012,15;0,00;4,63;0,02;8,00;60,00
1714404012,15;0,00;5,03;0,02;8,00;60,00
1714404012,15;0,00;5,12;0,02;8,00;60,00
1714404012,15;0,00;5,15;0,02;8,00;60,00
1714404012,15;0,00;5,58;0,02;8,00;60,00
1714404012,15;0,00;5,67;0,02;8,00;60,00
1714404012,15;0,00;5,67;0,02;8,00;60,00
1714404012,15;0,00;6,03;0,02;8,00;60,00
1714404012,15;0,00;6,21;0,02;8,00;60,00
1714404012,15;0,00;6,22;0,02;8,00;60,00
1714404012,15;0,00;6,62;0,02;8,00;60,00
1714404012,15;0,00;6,73;0,02;8,00;60,00
1714404012,15;0,00;6,73;0,02;8,00;60,00
1714404012,15;0,00;7,06;0,03;8,00;60,00
1714404012,15;0,00;7,25;0,03;8,00;60,00
1714404012,15;0,00;7,25;0,03;8,00;60,00
1714404012,15;0,00;7,66;0,04;8,00;60,00
1714404012,15;0,00;7,77;0,04;8,00;60,00
1714404012,15;0,00;7,77;0,04;8,00;60,00
1714404012,15;0,00;8,68;0,05;8,00;60,00
1714404012,15;0,00;8,70;0,05;8,00;60,00
1714404012,15;0,00;8,70;0,05;8,00;60,00
1714404012,15;0,00;8,71;0,07;8,00;60,00
1714404012,15;0,00;8,73;0,07;8,00;60,00
1714404012,15;0,00;8,73;0,07;8,00;60,00
1714404012,15;0,00;8,75;0,10;8,00;60,00
1714404012,15;0,00;8,75;0,10;8,00;60,00
1714404012,15;0,00;8,75;0,10;8,00;60,00
1714404012,15;0,00;8,76;0,14;8,00;60,00
1714404012,15;0,00;8,77;0,14;8,00;60,00
1714404012,15;0,00;8,77;0,14;8,00;60,00
1714404012,15;0,00;8,77;0,18;8,00;60,00
1714404012,15;0,00;8,77;0,18;8,00;60,00
1714404012,15;0,00;8,78;0,18;8,00;60,00
1714404012,15;0,00;8,78;0,22;8,00;60,00
1714404012,15;0,00;8,78;0,22;8,00;60,00
1714404012,15;0,00;8,78;0,22;8,00;60,00
1714404012,15;0,00;8,79;0,26;8,00;60,00
1714404012,15;0,00;8,79;0,26;8,00;60,00
1714404012,15;0,00;8,80;0,26;8,00;60,00
1714404012,15;0,00;8,84;0,26;8,00;60,00
1714404012,15;0,00;8,84;0,26;8,00;60,00
1714404012,15;0,00;8,79;0,32;8,00;60,00
1714404012,15;0,00;8,83;0,32;8,00;60,00
1714404012,15;0,00;8,83;0,32;8,00;60,00
1714404012,15;0,00;8,81;0,37;8,00;60,00
1714404012,15;0,00;8,83;0,37;8,00;60,00
1714404012,15;0,00;8,83;0,37;8,00;60,00
1714404012,15;0,00;8,81;0,43;8,00;60,00
1714404012,15;0,00;8,82;0,43;8,00;60,00
1714404012,15;0,00;8,82;0,43;8,00;60,00
1714404012,15;0,00;8,81;0,47;8,00;60,00
1714404012,15;0,00;8,82;0,47;8,00;60,00
