t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714054137,93;0,00;0,00;0,00;8,00;60,00
1714054137,93;0,00;0,20;0,00;8,00;60,00
1714054137,93;0,00;0,71;0,00;8,00;60,00
1714054137,93;0,00;1,20;0,00;8,00;60,00
1714054137,93;0,00;1,70;0,00;8,00;60,00
1714054137,93;0,00;2,20;0,00;8,00;60,00
1714054137,93;0,00;2,70;0,01;8,00;60,00
1714054137,93;0,00;3,19;0,01;8,00;60,00
1714054137,93;0,00;3,71;0,01;8,00;60,00
1714054137,93;0,00;4,19;0,01;8,00;60,00
1714054137,93;0,00;4,73;0,01;8,00;60,00
1714054137,93;0,00;5,20;0,01;8,00;60,00
1714054137,93;0,00;5,72;0,01;8,00;60,00
1714054137,93;0,00;6,19;0,02;8,00;60,00
1714054137,93;0,00;6,71;0,02;8,00;60,00
1714054137,93;0,00;7,19;0,02;8,00;60,00
1714054137,93;0,00;7,70;0,02;8,00;60,00
1714054137,93;0,00;8,73;0,02;8,00;60,00
1714054137,93;0,00;8,77;0,02;8,00;60,00
1714054137,93;0,00;8,81;0,04;8,00;60,00
1714054137,93;0,00;8,86;0,04;8,00;60,00
1714054137,93;0,00;8,89;0,06;8,00;60,00
1714054137,93;0,00;8,91;0,09;8,00;60,00
1714054137,93;0,00;8,91;0,13;8,00;60,00
1714054137,93;0,00;8,92;0,17;8,00;60,00
1714054137,93;0,00;8,92;0,21;8,00;60,00
1714054137,93;0,00;8,92;0,26;8,00;60,00
1714054137,93;0,00;8,92;0,30;8,00;60,00
1714054137,93;0,00;8,93;0,35;8,00;60,00
1714054137,93;0,00;8,93;0,39;8,00;60,00
1714054137,93;0,00;8,92;0,44;8,00;60,00
1714054137,93;0,00;8,92;0,49;8,00;60,00
1714054137,93;0,00;8,92;0,54;8,00;60,00
1714054137,93;0,00;8,92;0,58;8,00;60,00
1714054137,93;0,00;8,92;0,63;8,00;60,00
1714054137,93;0,00;8,92;0,68;8,00;60,00
1714054137,93;0,00;8,92;0,72;8,00;60,00
1714054137,93;0,00;8,92;0,77;8,00;60,00
1714054137,93;0,00;8,92;0,82;8,00;60,00
1714054137,93;0,00;8,92;0,87;8,00;60,00
1714054137,93;0,00;8,91;0,92;8,00;60,00
1714054137,93;0,00;8,97;0,92;8,00;60,00
1714054137,93;0,00;8,97;0,96;8,00;60,00
1714054137,93;0,00;8,97;1,01;8,00;60,00
1714054137,93;0,00;8,97;1,06;8,00;60,00
1714054137,93;0,00;8,96;1,11;8,00;60,00
1714054137,93;0,00;8,96;1,16;8,00;60,00
1714054137,93;0,00;8,96;1,20;8,00;60,00
1714054137,93;0,00;8,96;1,25;8,00;60,00
1714054137,93;0,00;8,95;1,30;8,00;60,00
1714054137,93;0,00;8,96;1,35;8,00;60,00
1714054137,93;0,00;8,96;1,40;8,00;60,00
1714054137,93;0,00;8,96;1,44;8,00;60,00
1714054137,93;0,00;8,95;1,49;8,00;60,00
1714054137,93;0,00;8,95;1,54;8,00;60,00
1714054137,93;0,00;8,95;1,59;8,00;60,00
1714054137,93;0,00;8,94;1,64;8,00;60,00
1714054137,93;0,00;8,94;1,68;8,00;60,00
1714054137,93;0,00;8,94;1,73;8,00;60,00
1714054137,93;0,00;8,94;1,78;8,00;60,00
1714054137,93;0,00;8,94;1,83;8,00;60,00
1714054137,93;0,00;8,93;1,88;8,00;60,00
1714054137,93;0,00;9,00;1,88;8,00;60,00
1714054137,93;0,00;9,00;1,93;8,00;60,00
1714054137,93;0,00;9,00;1,97;8,00;60,00
1714054137,93;0,00;8,99;2,02;8,00;60,00
1714054137,93;0,00;9,00;2,07;8,00;60,00
1714054137,93;0,00;8,99;2,12;8,00;60,00
1714054137,93;0,00;8,99;2,17;8,00;60,00
1714054137,93;0,00;8,98;2,22;8,00;60,00
1714054137,93;0,00;8,98;2,26;8,00;60,00
1714054137,93;0,00;8,98;2,31;8,00;60,00
1714054137,93;0,00;8,98;2,36;8,00;60,00
1714054137,93;0,00;8,97;2,41;8,00;60,00
1714054137,93;0,00;8,97;2,46;8,00;60,00
1714054137,93;0,00;8,97;2,51;8,00;60,00
1714054137,93;0,00;8,97;2,56;8,00;60,00
1714054137,93;0,00;8,96;2,60;8,00;60,00
1714054137,93;0,00;8,96;2,65;8,00;60,00
1714054137,93;0,00;8,95;2,70;8,00;60,00
1714054137,93;0,00;8,95;2,75;8,00;60,00
1714054137,93;0,00;8,95;2,80;8,00;60,00
1714054137,93;0,00;8,95;2,85;8,00;60,00
1714054137,93;0,00;9,03;2,85;8,00;60,00
1714054137,93;0,00;9,03;2,90;8,00;60,00
1714054137,93;0,00;9,02;2,94;8,00;60,00
1714054137,93;0,00;9,02;2,99;8,00;60,00
1714054137,93;0,00;9,02;3,04;8,00;60,00
1714054137,93;0,00;9,02;3,09;8,00;60,00
1714054137,93;0,00;9,01;3,14;8,00;60,00
1714054137,93;0,00;9,01;3,19;8,00;60,00
1714054137,93;0,00;9,00;3,24;8,00;60,00
1714054137,93;0,00;9,00;3,28;8,00;60,00
1714054137,93;0,00;9,00;3,33;8,00;60,00
1714054137,93;0,00;9,00;3,38;8,00;60,00
1714054137,93;0,00;8,99;3,43;8,00;60,00
1714054137,93;0,00;8,99;3,48;8,00;60,00
1714054137,93;0,00;8,98;3,53;8,00;60,00
1714054137,93;0,00;8,98;3,58;8,00;60,00
1714054137,93;0,00;8,97;3,63;8,00;60,00
1714054137,93;0,00;8,97;3,68;8,00;60,00
1714054137,93;0,00;8,96;3,73;8,00;60,00
1714054137,93;0,00;8,96;3,77;8,00;60,00
1714054137,93;0,00;9,06;3,77;8,00;60,00
1714054137,93;0,00;9,05;3,82;8,00;60,00
