t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,76;11,38;7,20;0,07;8,00;60,00
1,78;11,96;7,20;0,27;8,00;60,00
2,79;10,69;7,20;0,46;8,00;60,00
3,78;8,80;7,20;0,62;8,00;60,00
4,80;8,01;7,20;0,76;8,00;60,00
5,80;9,06;7,20;0,91;8,00;60,00
6,79;10,98;7,20;1,07;8,00;60,00
7,79;12,00;7,20;1,26;8,00;60,00
8,80;11,18;7,20;1,46;8,00;60,00
9,79;9,29;7,20;1,63;8,00;60,00
10,79;8,04;7,59;1,77;8,00;60,00
11,80;8,61;7,59;1,91;8,00;60,00
12,79;10,45;7,59;2,07;8,00;60,00
13,80;11,89;7,59;2,26;8,00;60,00
14,83;11,54;7,59;2,46;8,00;60,00
15,82;9,77;7,59;2,63;8,00;60,00
16,84;8,19;7,59;2,79;8,00;60,00
17,84;8,31;7,59;2,92;8,00;60,00
18,85;10,00;7,59;3,08;8,00;60,00
19,85;11,68;7,59;3,26;8,00;60,00
20,85;11,82;6,97;3,46;8,00;60,00
21,86;10,26;6,97;3,64;8,00;60,00
22,87;8,47;6,97;3,80;8,00;60,00
23,87;8,09;6,97;3,94;8,00;60,00
24,88;9,51;6,97;4,08;8,00;60,00
25,88;11,36;6,97;4,26;8,00;60,00
26,89;11,96;6,97;4,46;8,00;60,00
27,92;10,69;6,97;4,65;8,00;60,00
28,92;8,80;6,97;4,81;8,00;60,00
29,91;8,00;6,97;4,95;8,00;60,00
30,92;9,04;6,00;5,09;8,00;60,00
31,94;10,99;6,00;5,26;8,00;60,00
32,93;12,00;6,00;5,45;8,00;60,00
33,94;11,17;6,00;5,65;8,00;60,00
34,94;9,26;6,00;5,82;8,00;60,00
35,95;8,03;6,00;5,96;8,00;60,00
36,95;8,64;6,00;6,10;8,00;60,00
37,96;10,51;6,00;6,26;8,00;60,00
38,98;11,92;6,00;6,46;8,00;60,00
40,00;11,50;6,00;6,65;8,00;60,00
41,00;9,69;3,69;6,83;8,00;60,00
42,00;8,17;3,69;6,98;8,00;60,00
43,00;8,34;3,69;7,12;8,00;60,00
44,00;10,03;3,69;7,27;8,00;60,00
45,01;11,71;3,69;7,45;8,00;60,00
46,01;11,80;3,69;7,65;8,00;60,00
47,01;10,22;3,69;7,83;8,00;60,00
48,03;8,43;3,69;7,99;8,00;60,00
49,03;8,11;3,69;8,13;8,00;60,00
50,04;9,54;3,69;8,28;8,00;60,00
51,04;11,40;-3,03;8,45;8,00;60,00
52,04;11,96;-3,03;8,65;8,00;60,00
53,07;10,66;-3,03;8,84;8,00;60,00
54,10;8,72;-3,03;9,01;8,00;60,00
55,11;8,02;-3,03;9,15;8,00;60,00
56,11;9,15;-3,03;9,29;8,00;60,00
57,13;11,09;-3,03;9,46;8,00;60,00
58,15;12,00;-3,03;9,66;8,00;60,00
59,14;11,04;-3,03;9,85;8,00;60,00
