t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;45,00;0,00;50,00;60,00
0,23;18,86;45,00;0,04;50,00;60,00
1,23;17,38;45,00;0,34;50,00;60,00
2,24;16,12;45,00;0,62;50,00;60,00
3,25;15,01;45,00;0,88;50,00;60,00
4,25;14,09;45,00;1,12;50,00;60,00
5,25;13,27;45,00;1,35;50,00;60,00
6,25;12,53;45,00;1,57;50,00;60,00
7,24;23,67;45,00;1,87;50,00;60,00
8,23;37,07;45,00;2,37;50,00;60,00
9,24;40,76;45,00;3,02;50,00;60,00
10,23;41,70;55,82;3,70;50,00;60,00
11,25;42,70;55,82;4,42;50,00;60,00
12,25;46,30;55,82;5,16;50,00;60,00
13,24;49,28;55,82;5,95;50,00;60,00
14,23;50,85;55,82;6,78;50,00;60,00
15,24;51,82;55,82;7,64;50,00;60,00
16,24;52,54;55,82;8,50;50,00;60,00
17,25;53,17;55,82;9,40;50,00;60,00
18,23;53,73;55,82;10,28;50,00;60,00
19,23;54,24;55,82;11,17;50,00;60,00
20,25;54,71;57,21;12,10;50,00;60,00
21,24;55,23;57,21;13,01;50,00;60,00
22,25;55,72;57,21;13,93;50,00;60,00
23,25;56,13;57,21;14,87;50,00;60,00
24,25;56,44;57,21;15,80;50,00;60,00
25,24;56,72;57,21;16,75;50,00;60,00
26,26;56,88;57,21;17,71;50,00;60,00
27,23;57,00;57,21;18,63;50,00;60,00
28,24;57,07;57,21;19,58;50,00;60,00
29,25;57,12;57,21;20,55;50,00;60,00
30,23;57,18;57,21;21,49;50,00;60,00
31,25;57,19;57,49;22,46;50,00;60,00
32,24;57,25;57,49;23,40;50,00;60,00
33,24;57,23;57,49;24,35;50,00;60,00
34,23;57,29;57,49;25,30;50,00;60,00
35,23;57,35;57,49;26,26;50,00;60,00
36,24;57,47;57,49;27,22;50,00;60,00
37,25;57,54;57,49;28,19;50,00;60,00
38,25;57,61;57,49;29,15;50,00;60,00
39,24;57,60;57,49;30,10;50,00;60,00
40,24;57,62;57,49;31,05;50,00;60,00
41,24;57,69;57,49;32,02;50,00;60,00
42,24;57,59;57,50;32,98;50,00;60,00
43,25;57,51;57,50;33,95;50,00;60,00
44,25;57,39;57,50;34,90;50,00;60,00
45,24;57,23;57,50;35,85;50,00;60,00
46,23;57,12;57,50;36,80;50,00;60,00
47,26;57,06;57,50;37,78;50,00;60,00
48,24;57,06;57,50;38,70;50,00;60,00
49,24;57,11;57,50;39,66;50,00;60,00
50,23;57,17;57,50;40,60;50,00;60,00
51,24;57,28;57,50;41,56;50,00;60,00
52,24;57,35;57,84;42,52;50,00;60,00
53,24;57,52;57,84;43,48;50,00;60,00
54,25;57,74;57,84;44,44;50,00;60,00
55,26;57,82;57,84;45,42;50,00;60,00
56,25;57,81;57,84;46,37;50,00;60,00
57,24;57,76;57,84;47,32;50,00;60,00
58,24;57,67;57,84;48,29;50,00;60,00
59,24;57,45;57,84;49,25;50,00;60,00
