t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,31;-0,06;7,20;-0,00;8,00;60,00
1,31;-0,06;7,20;-0,00;8,00;60,00
2,29;-0,06;7,20;-0,00;8,00;60,00
3,29;-0,06;7,20;-0,00;8,00;60,00
4,32;-0,06;7,20;-0,00;8,00;60,00
5,31;-0,06;7,20;-0,01;8,00;60,00
6,33;-0,06;7,20;-0,01;8,00;60,00
7,33;-0,06;7,20;-0,01;8,00;60,00
8,34;-0,06;7,20;-0,01;8,00;60,00
9,36;-0,06;7,20;-0,01;8,00;60,00
10,34;-0,06;9,68;-0,01;8,00;60,00
11,34;-0,06;9,68;-0,01;8,00;60,00
12,34;-0,06;9,68;-0,01;8,00;60,00
13,35;-0,06;9,68;-0,01;8,00;60,00
14,36;-0,06;9,68;-0,01;8,00;60,00
15,37;-0,06;9,68;-0,02;8,00;60,00
16,36;-0,07;9,68;-0,02;8,00;60,00
17,37;-0,07;9,68;-0,02;8,00;60,00
18,37;-0,07;9,68;-0,02;8,00;60,00
19,39;-0,07;9,68;-0,02;8,00;60,00
20,38;-0,07;12,15;-0,02;8,00;60,00
21,40;-0,07;12,15;-0,02;8,00;60,00
22,37;-0,06;12,15;-0,02;8,00;60,00
23,39;-0,06;12,15;-0,02;8,00;60,00
24,41;-0,07;12,15;-0,02;8,00;60,00
25,42;-0,06;12,15;-0,03;8,00;60,00
26,42;-0,06;12,15;-0,03;8,00;60,00
27,40;-0,06;12,15;-0,03;8,00;60,00
28,41;-0,06;12,15;-0,03;8,00;60,00
29,42;-0,06;12,15;-0,03;8,00;60,00
30,39;-0,06;16,27;-0,03;8,00;60,00
31,43;-0,06;16,27;-0,03;8,00;60,00
32,42;-0,07;16,27;-0,03;8,00;60,00
33,42;-0,07;16,27;-0,03;8,00;60,00
34,42;-0,07;16,27;-0,04;8,00;60,00
35,42;-0,07;16,27;-0,04;8,00;60,00
36,44;-0,07;16,27;-0,04;8,00;60,00
37,42;-0,07;16,27;-0,04;8,00;60,00
38,43;-0,07;16,27;-0,04;8,00;60,00
39,45;-0,07;16,27;-0,04;8,00;60,00
40,41;-0,07;24,63;-0,04;8,00;60,00
41,41;-0,07;24,63;-0,04;8,00;60,00
42,44;-0,06;24,63;-0,04;8,00;60,00
43,44;-0,07;24,63;-0,05;8,00;60,00
44,44;-0,06;24,63;-0,05;8,00;60,00
45,45;-0,06;24,63;-0,05;8,00;60,00
46,45;-0,06;24,63;-0,05;8,00;60,00
47,42;-0,06;24,63;-0,05;8,00;60,00
48,43;-0,06;24,63;-0,05;8,00;60,00
49,46;-0,06;24,63;-0,05;8,00;60,00
50,46;-0,06;50,65;-0,05;8,00;60,00
51,44;-0,06;50,65;-0,05;8,00;60,00
52,44;-0,06;50,65;-0,05;8,00;60,00
53,49;-0,07;50,65;-0,06;8,00;60,00
54,47;-0,07;50,65;-0,06;8,00;60,00
55,47;-0,07;50,65;-0,06;8,00;60,00
56,45;-0,07;50,65;-0,06;8,00;60,00
57,45;-0,07;50,65;-0,06;8,00;60,00
58,45;-0,07;50,65;-0,06;8,00;60,00
59,45;-0,07;50,65;-0,06;8,00;60,00
