t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714823339,34;0,00;0,80;0,00;8,00;60,00
1714823339,34;0,00;0,80;0,00;8,00;60,00
1714823339,34;0,00;0,80;0,00;8,00;60,00
1714823339,34;0,00;0,80;0,00;8,00;60,00
1714823339,34;0,00;1,02;0,00;8,00;60,00
1714823339,34;0,00;1,02;0,00;8,00;60,00
1714823339,34;0,00;1,02;0,00;8,00;60,00
1714823339,34;0,00;1,49;0,00;8,00;60,00
1714823339,34;0,00;1,51;0,00;8,00;60,00
1714823339,34;0,00;1,51;0,00;8,00;60,00
1714823339,34;0,00;2,02;0,00;8,00;60,00
1714823339,34;0,00;2,05;0,01;8,00;60,00
1714823339,34;0,00;2,05;0,01;8,00;60,00
1714823339,34;0,00;2,54;0,01;8,00;60,00
1714823339,34;0,00;2,56;0,01;8,00;60,00
1714823339,34;0,00;2,56;0,01;8,00;60,00
1714823339,34;0,00;3,10;0,01;8,00;60,00
1714823339,34;0,00;3,10;0,01;8,00;60,00
1714823339,34;0,00;3,10;0,01;8,00;60,00
1714823339,34;0,00;3,59;0,01;8,00;60,00
1714823339,34;0,00;3,61;0,01;8,00;60,00
1714823339,34;0,00;3,61;0,01;8,00;60,00
1714823339,34;0,00;4,10;0,01;8,00;60,00
1714823339,34;0,00;4,13;0,01;8,00;60,00
1714823339,34;0,00;4,13;0,01;8,00;60,00
1714823339,34;0,00;4,67;0,01;8,00;60,00
1714823339,34;0,00;4,67;0,01;8,00;60,00
1714823339,34;0,00;4,67;0,01;8,00;60,00
1714823339,34;0,00;5,18;0,01;8,00;60,00
1714823339,34;0,00;5,18;0,01;8,00;60,00
1714823339,34;0,00;5,18;0,01;8,00;60,00
1714823339,34;0,00;5,72;0,02;8,00;60,00
1714823339,34;0,00;5,72;0,02;8,00;60,00
1714823339,34;0,00;5,72;0,02;8,00;60,00
1714823339,34;0,00;6,23;0,02;8,00;60,00
1714823339,34;0,00;6,24;0,02;8,00;60,00
1714823339,34;0,00;6,24;0,02;8,00;60,00
1714823339,34;0,00;6,75;0,02;8,00;60,00
1714823339,34;0,00;6,77;0,02;8,00;60,00
1714823339,34;0,00;6,77;0,02;8,00;60,00
1714823339,34;0,00;7,26;0,02;8,00;60,00
1714823339,34;0,00;7,28;0,02;8,00;60,00
1714823339,34;0,00;7,30;0,02;8,00;60,00
1714823339,34;0,00;7,79;0,02;8,00;60,00
1714823339,34;0,00;7,81;0,04;8,00;60,00
1714823339,34;0,00;7,82;0,04;8,00;60,00
1714823339,34;0,00;8,72;0,05;8,00;60,00
1714823339,34;0,00;8,72;0,05;8,00;60,00
1714823339,34;0,00;8,72;0,05;8,00;60,00
1714823339,34;0,00;8,75;0,07;8,00;60,00
1714823339,34;0,00;8,75;0,07;8,00;60,00
1714823339,34;0,00;8,75;0,07;8,00;60,00
1714823339,34;0,00;8,77;0,10;8,00;60,00
1714823339,34;0,00;8,77;0,10;8,00;60,00
1714823339,34;0,00;8,77;0,10;8,00;60,00
1714823339,34;0,00;8,82;0,10;8,00;60,00
1714823339,34;0,00;8,78;0,14;8,00;60,00
1714823339,34;0,00;8,79;0,14;8,00;60,00
1714823339,34;0,00;8,80;0,18;8,00;60,00
1714823339,34;0,00;8,80;0,18;8,00;60,00
1714823339,34;0,00;8,80;0,18;8,00;60,00
1714823339,34;0,00;8,85;0,18;8,00;60,00
1714823339,34;0,00;8,81;0,22;8,00;60,00
1714823339,34;0,00;8,81;0,22;8,00;60,00
1714823339,34;0,00;8,81;0,26;8,00;60,00
1714823339,34;0,00;8,81;0,26;8,00;60,00
1714823339,34;0,00;8,81;0,26;8,00;60,00
1714823339,34;0,00;8,87;0,26;8,00;60,00
1714823339,34;0,00;8,82;0,30;8,00;60,00
1714823339,34;0,00;8,82;0,30;8,00;60,00
1714823339,34;0,00;8,82;0,34;8,00;60,00
1714823339,34;0,00;8,83;0,34;8,00;60,00
1714823339,34;0,00;8,83;0,34;8,00;60,00
1714823339,34;0,00;8,83;0,39;8,00;60,00
1714823339,34;0,00;8,83;0,39;8,00;60,00
1714823339,34;0,00;8,83;0,39;8,00;60,00
1714823339,34;0,00;8,83;0,43;8,00;60,00
1714823339,34;0,00;8,83;0,43;8,00;60,00
1714823339,34;0,00;8,83;0,43;8,00;60,00
1714823339,34;0,00;8,84;0,48;8,00;60,00
1714823339,34;0,00;8,84;0,48;8,00;60,00
1714823339,34;0,00;8,84;0,48;8,00;60,00
1714823339,34;0,00;8,89;0,48;8,00;60,00
1714823339,34;0,00;8,89;0,48;8,00;60,00
1714823339,34;0,00;8,84;0,52;8,00;60,00
1714823339,34;0,00;8,84;0,57;8,00;60,00
1714823339,34;0,00;8,84;0,57;8,00;60,00
1714823339,34;0,00;8,84;0,57;8,00;60,00
1714823339,34;0,00;8,84;0,62;8,00;60,00
1714823339,34;0,00;8,84;0,62;8,00;60,00
1714823339,34;0,00;8,84;0,62;8,00;60,00
1714823339,34;0,00;8,90;0,62;8,00;60,00
1714823339,34;0,00;8,85;0,66;8,00;60,00
1714823339,34;0,00;8,85;0,66;8,00;60,00
1714823339,34;0,00;8,90;0,66;8,00;60,00
1714823339,34;0,00;8,85;0,71;8,00;60,00
1714823339,34;0,00;8,85;0,71;8,00;60,00
1714823339,34;0,00;8,90;0,71;8,00;60,00
1714823339,34;0,00;8,85;0,75;8,00;60,00
1714823339,34;0,00;8,85;0,75;8,00;60,00
1714823339,34;0,00;8,85;0,80;8,00;60,00
1714823339,34;0,00;8,85;0,80;8,00;60,00
1714823339,34;0,00;8,85;0,80;8,00;60,00
1714823339,34;0,00;8,86;0,85;8,00;60,00
1714823339,34;0,00;8,86;0,85;8,00;60,00
1714823339,34;0,00;8,86;0,85;8,00;60,00
