t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713801879,69;0,00;0,00;0,00;80,00;600,00
1713801879,69;0,00;0,27;0,00;80,00;600,00
1713801879,69;0,00;0,78;0,00;80,00;600,00
1713801879,69;0,00;1,26;0,00;80,00;600,00
1713801879,69;0,00;1,78;0,01;80,00;600,00
1713801879,69;0,00;2,26;0,01;80,00;600,00
1713801879,69;0,00;2,77;0,01;80,00;600,00
1713801879,69;0,00;3,26;0,02;80,00;600,00
1713801879,69;0,00;3,78;0,02;80,00;600,00
1713801879,69;0,00;4,25;0,02;80,00;600,00
1713801879,69;0,00;4,78;0,03;80,00;600,00
1713801879,69;0,00;5,26;0,03;80,00;600,00
1713801879,69;0,00;5,77;0,03;80,00;600,00
1713801879,69;0,00;6,26;0,04;80,00;600,00
1713801879,69;0,00;6,77;0,04;80,00;600,00
1713801879,69;0,00;7,25;0,04;80,00;600,00
1713801879,69;0,00;7,77;0,04;80,00;600,00
1713801879,69;0,00;8,06;0,05;80,00;600,00
1713801879,69;0,00;8,07;0,05;80,00;600,00
1713801879,69;0,00;8,07;0,05;80,00;600,00
1713801879,69;0,00;8,08;0,05;80,00;600,00
1713801879,69;0,00;8,08;0,06;80,00;600,00
1713801879,69;0,00;8,08;0,09;80,00;600,00
1713801879,69;0,00;8,08;0,12;80,00;600,00
1713801879,69;0,00;8,08;0,15;80,00;600,00
1713801879,69;0,00;8,08;0,20;80,00;600,00
1713801879,69;0,00;8,08;0,24;80,00;600,00
1713801879,69;0,00;8,08;0,28;80,00;600,00
1713801879,69;0,00;8,08;0,33;80,00;600,00
1713801879,69;0,00;8,08;0,37;80,00;600,00
1713801879,69;0,00;8,08;0,42;80,00;600,00
1713801879,69;0,00;8,08;0,46;80,00;600,00
1713801879,69;0,00;8,08;0,51;80,00;600,00
1713801879,69;0,00;8,08;0,55;80,00;600,00
1713801879,69;0,00;8,08;0,60;80,00;600,00
1713801879,69;0,00;8,08;0,64;80,00;600,00
1713801879,69;0,00;8,08;0,68;80,00;600,00
1713801879,69;0,00;8,08;0,73;80,00;600,00
1713801879,69;0,00;8,08;0,77;80,00;600,00
1713801879,69;0,00;8,08;0,77;80,00;600,00
1713801879,69;0,00;8,08;0,86;80,00;600,00
