t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;720,00;0,00;8000,00;600,00
0,00;28,40;720,00;0,00;8000,00;600,00
0,16;27,47;720,00;0,07;8000,00;600,00
0,45;26,60;720,00;0,21;8000,00;600,00
0,77;25,65;720,00;0,34;8000,00;600,00
1,11;24,71;720,00;0,49;8000,00;600,00
1,37;23,94;720,00;0,59;8000,00;600,00
1,74;23,01;720,00;0,74;8000,00;600,00
2,03;22,19;802,64;0,85;8000,00;600,00
2,34;22,13;802,64;0,96;8000,00;600,00
2,65;20,75;802,64;1,07;8000,00;600,00
2,98;19,98;802,64;1,18;8000,00;600,00
3,29;19,43;802,64;1,28;8000,00;600,00
3,60;19,02;802,64;1,38;8000,00;600,00
3,89;18,71;802,64;1,48;8000,00;600,00
4,23;32,98;805,52;1,62;8000,00;600,00
4,56;122,86;805,52;2,05;8000,00;600,00
4,85;259,18;805,52;2,96;8000,00;600,00
5,16;365,05;806,48;4,57;8000,00;600,00
5,50;445,00;806,48;6,85;8000,00;600,00
5,81;496,82;806,48;9,29;8000,00;600,00
6,01;524,67;806,48;10,97;8000,00;600,00
6,39;565,27;807,15;14,46;8000,00;600,00
6,72;595,72;807,15;17,62;8000,00;600,00
7,05;615,94;807,15;20,97;8000,00;600,00
7,27;635,66;807,15;23,27;8000,00;600,00
7,57;716,02;807,15;26,70;8000,00;600,00
7,93;749,55;807,15;31,02;8000,00;600,00
8,20;750,82;807,15;34,38;8000,00;600,00
