t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,12;7,36;7,20;0,01;8,00;60,00
1,18;5,22;7,20;0,12;8,00;60,00
2,15;5,82;7,20;0,21;8,00;60,00
3,12;6,41;7,20;0,31;8,00;60,00
4,13;6,70;7,20;0,42;8,00;60,00
5,13;6,79;7,20;0,53;8,00;60,00
6,15;6,85;7,20;0,65;8,00;60,00
7,16;6,88;7,20;0,76;8,00;60,00
8,17;6,90;7,20;0,88;8,00;60,00
9,13;6,92;7,20;0,99;8,00;60,00
10,16;6,94;8,30;1,11;8,00;60,00
11,17;7,13;8,30;1,22;8,00;60,00
12,15;7,56;8,30;1,34;8,00;60,00
13,19;7,74;8,30;1,48;8,00;60,00
14,17;7,85;8,30;1,60;8,00;60,00
15,17;7,90;8,30;1,74;8,00;60,00
16,21;7,93;8,30;1,87;8,00;60,00
17,19;7,96;8,30;2,00;8,00;60,00
18,18;7,98;8,30;2,13;8,00;60,00
19,21;8,00;8,30;2,27;8,00;60,00
20,22;8,03;8,44;2,41;8,00;60,00
21,23;8,06;8,44;2,54;8,00;60,00
22,25;8,10;8,44;2,68;8,00;60,00
23,25;8,14;8,44;2,81;8,00;60,00
24,23;8,17;8,44;2,95;8,00;60,00
25,25;8,19;8,44;3,09;8,00;60,00
26,23;8,21;8,44;3,22;8,00;60,00
27,23;8,22;8,44;3,36;8,00;60,00
28,25;8,24;8,44;3,50;8,00;60,00
29,23;8,26;8,44;3,63;8,00;60,00
30,23;8,28;8,53;3,77;8,00;60,00
31,25;8,29;8,53;3,91;8,00;60,00
32,24;8,32;8,53;4,05;8,00;60,00
33,25;8,35;8,53;4,19;8,00;60,00
34,23;8,36;8,53;4,32;8,00;60,00
35,22;8,37;8,53;4,46;8,00;60,00
36,25;8,38;8,53;4,61;8,00;60,00
37,23;8,39;8,53;4,74;8,00;60,00
38,24;8,41;8,53;4,88;8,00;60,00
39,27;8,42;8,53;5,03;8,00;60,00
40,26;8,43;8,61;5,17;8,00;60,00
41,28;8,44;8,61;5,31;8,00;60,00
42,25;8,46;8,61;5,45;8,00;60,00
43,27;8,46;8,61;5,59;8,00;60,00
44,25;8,47;8,61;5,73;8,00;60,00
45,28;8,48;8,61;5,88;8,00;60,00
46,29;8,50;8,61;6,02;8,00;60,00
47,30;8,50;8,61;6,16;8,00;60,00
48,30;8,51;8,61;6,30;8,00;60,00
49,27;8,52;8,61;6,44;8,00;60,00
50,35;8,53;8,74;6,59;8,00;60,00
51,30;8,53;8,74;6,73;8,00;60,00
52,32;8,57;8,74;6,88;8,00;60,00
53,32;8,59;8,74;7,02;8,00;60,00
54,32;8,62;8,74;7,16;8,00;60,00
55,32;8,62;8,74;7,31;8,00;60,00
56,33;8,64;8,74;7,45;8,00;60,00
57,33;8,64;8,74;7,59;8,00;60,00
58,34;8,65;8,74;7,74;8,00;60,00
59,35;8,66;8,74;7,89;8,00;60,00
