t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713631740,40;0,00;7,20;0,00;8,00;60,00
1713631740,40;0,00;7,20;0,00;8,00;60,00
1713631740,40;0,00;7,20;0,06;8,00;60,00
1713631740,40;0,00;7,20;0,17;8,00;60,00
1713631740,40;0,00;7,92;0,24;8,00;60,00
1713631740,40;0,00;7,92;0,27;8,00;60,00
1713631740,40;0,00;7,92;0,27;8,00;60,00
1713631740,40;0,00;7,92;0,27;8,00;60,00
1713631740,40;0,00;8,06;0,28;8,00;60,00
1713631740,40;0,00;8,06;0,29;8,00;60,00
1713631740,40;0,00;8,06;0,31;8,00;60,00
1713631740,40;0,00;8,06;0,34;8,00;60,00
1713631740,40;0,00;8,13;0,37;8,00;60,00
1713631740,40;0,00;8,13;0,41;8,00;60,00
1713631740,40;0,00;8,13;0,46;8,00;60,00
1713631740,40;0,00;8,13;0,46;8,00;60,00
1713631740,40;0,00;8,16;0,51;8,00;60,00
1713631740,40;0,00;8,16;0,57;8,00;60,00
1713631740,40;0,00;8,16;0,61;8,00;60,00
1713631740,40;0,00;8,16;0,66;8,00;60,00
1713631740,40;0,00;8,19;0,66;8,00;60,00
1713631740,40;0,00;8,19;0,71;8,00;60,00
1713631740,40;0,00;8,19;0,77;8,00;60,00
1713631740,40;0,00;8,19;0,82;8,00;60,00
1713631740,40;0,00;8,14;0,87;8,00;60,00
1713631740,40;0,00;8,14;0,87;8,00;60,00
1713631740,40;0,00;8,14;0,93;8,00;60,00
1713631740,40;0,00;8,14;0,98;8,00;60,00
1713631740,40;0,00;8,17;1,02;8,00;60,00
1713631740,40;0,00;8,17;1,07;8,00;60,00
1713631740,40;0,00;8,17;1,11;8,00;60,00
1713631740,40;0,00;8,17;1,15;8,00;60,00
1713631740,40;0,00;8,21;1,15;8,00;60,00
1713631740,40;0,00;8,19;1,21;8,00;60,00
1713631740,40;0,00;8,19;1,27;8,00;60,00
1713631740,40;0,00;8,19;1,32;8,00;60,00
1713631740,40;0,00;8,17;1,36;8,00;60,00
1713631740,40;0,00;8,17;1,40;8,00;60,00
1713631740,40;0,00;8,17;1,40;8,00;60,00
1713631740,40;0,00;8,17;1,46;8,00;60,00
1713631740,40;0,00;8,18;1,52;8,00;60,00
1713631740,40;0,00;8,18;1,56;8,00;60,00
1713631740,40;0,00;8,18;1,61;8,00;60,00
1713631740,40;0,00;8,18;1,67;8,00;60,00
1713631740,40;0,00;8,15;1,71;8,00;60,00
1713631740,40;0,00;8,15;1,76;8,00;60,00
1713631740,40;0,00;8,15;1,76;8,00;60,00
1713631740,40;0,00;8,15;1,80;8,00;60,00
1713631740,40;0,00;8,18;1,86;8,00;60,00
1713631740,40;0,00;8,18;1,90;8,00;60,00
1713631740,40;0,00;8,18;1,95;8,00;60,00
1713631740,40;0,00;8,18;1,99;8,00;60,00
1713631740,40;0,00;8,17;2,04;8,00;60,00
1713631740,40;0,00;8,17;2,08;8,00;60,00
1713631740,40;0,00;8,17;2,12;8,00;60,00
1713631740,40;0,00;8,17;2,17;8,00;60,00
1713631740,40;0,00;8,23;2,17;8,00;60,00
1713631740,40;0,00;8,23;2,23;8,00;60,00
1713631740,40;0,00;8,23;2,27;8,00;60,00
1713631740,40;0,00;8,23;2,31;8,00;60,00
1713631740,40;0,00;8,20;2,36;8,00;60,00
1713631740,40;0,00;8,20;2,40;8,00;60,00
1713631740,40;0,00;8,20;2,45;8,00;60,00
1713631740,40;0,00;8,20;2,51;8,00;60,00
1713631740,40;0,00;8,17;2,55;8,00;60,00
1713631740,40;0,00;8,17;2,59;8,00;60,00
1713631740,40;0,00;8,17;2,59;8,00;60,00
1713631740,40;0,00;8,17;2,64;8,00;60,00
1713631740,40;0,00;8,23;2,68;8,00;60,00
1713631740,40;0,00;8,23;2,73;8,00;60,00
1713631740,40;0,00;8,23;2,79;8,00;60,00
1713631740,40;0,00;8,23;2,83;8,00;60,00
1713631740,40;0,00;8,26;2,83;8,00;60,00
1713631740,40;0,00;8,26;2,89;8,00;60,00
1713631740,40;0,00;8,26;2,95;8,00;60,00
1713631740,40;0,00;8,26;2,99;8,00;60,00
1713631740,40;0,00;8,18;3,06;8,00;60,00
1713631740,40;0,00;8,18;3,06;8,00;60,00
1713631740,40;0,00;8,18;3,11;8,00;60,00
1713631740,40;0,00;8,18;3,16;8,00;60,00
1713631740,40;0,00;8,22;3,20;8,00;60,00
1713631740,40;0,00;8,22;3,26;8,00;60,00
1713631740,40;0,00;8,22;3,31;8,00;60,00
1713631740,40;0,00;8,22;3,35;8,00;60,00
1713631740,40;0,00;8,26;3,35;8,00;60,00
1713631740,40;0,00;8,26;3,41;8,00;60,00
1713631740,40;0,00;8,26;3,47;8,00;60,00
1713631740,40;0,00;8,26;3,52;8,00;60,00
1713631740,40;0,00;8,19;3,56;8,00;60,00
1713631740,40;0,00;8,19;3,60;8,00;60,00
1713631740,40;0,00;8,19;3,65;8,00;60,00
1713631740,40;0,00;8,19;3,65;8,00;60,00
1713631740,40;0,00;8,23;3,71;8,00;60,00
1713631740,40;0,00;8,23;3,77;8,00;60,00
1713631740,40;0,00;8,23;3,81;8,00;60,00
1713631740,40;0,00;8,23;3,81;8,00;60,00
1713631740,40;0,00;8,24;3,87;8,00;60,00
1713631740,40;0,00;8,24;3,92;8,00;60,00
1713631740,40;0,00;8,24;3,96;8,00;60,00
1713631740,40;0,00;8,24;4,01;8,00;60,00
1713631740,40;0,00;8,23;4,05;8,00;60,00
1713631740,40;0,00;8,23;4,10;8,00;60,00
1713631740,40;0,00;8,23;4,14;8,00;60,00
1713631740,40;0,00;8,23;4,19;8,00;60,00
1713631740,40;0,00;8,19;4,24;8,00;60,00
1713631740,40;0,00;8,19;4,29;8,00;60,00
1713631740,40;0,00;8,19;4,34;8,00;60,00
1713631740,40;0,00;8,19;4,38;8,00;60,00
1713631740,40;0,00;8,27;4,38;8,00;60,00
