t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,71;11,30;7,20;0,07;8,00;60,00
1,72;11,98;7,20;0,26;8,00;60,00
2,74;10,80;7,20;0,46;8,00;60,00
3,75;8,86;7,20;0,62;8,00;60,00
4,76;8,00;7,20;0,76;8,00;60,00
5,77;9,00;7,20;0,91;8,00;60,00
6,77;10,94;7,20;1,07;8,00;60,00
7,77;11,99;7,20;1,26;8,00;60,00
8,78;11,21;7,20;1,46;8,00;60,00
9,77;9,32;7,20;1,63;8,00;60,00
10,78;8,05;7,59;1,77;8,00;60,00
11,79;8,58;7,59;1,92;8,00;60,00
12,78;10,41;7,59;2,07;8,00;60,00
13,80;11,88;7,59;2,26;8,00;60,00
14,82;11,57;7,59;2,46;8,00;60,00
15,82;9,80;7,59;2,64;8,00;60,00
16,82;8,22;7,59;2,79;8,00;60,00
17,82;8,28;7,59;2,93;8,00;60,00
18,82;9,94;7,59;3,08;8,00;60,00
19,83;11,65;7,59;3,26;8,00;60,00
20,83;11,84;6,96;3,46;8,00;60,00
21,84;10,31;6,96;3,64;8,00;60,00
22,85;8,49;6,96;3,80;8,00;60,00
23,88;8,09;6,96;3,94;8,00;60,00
24,88;9,50;6,96;4,09;8,00;60,00
25,89;11,37;6,96;4,26;8,00;60,00
26,89;11,96;6,96;4,46;8,00;60,00
27,89;10,76;6,96;4,65;8,00;60,00
28,91;8,81;6,96;4,81;8,00;60,00
29,92;8,01;6,96;4,96;8,00;60,00
30,93;9,07;5,99;5,10;8,00;60,00
31,93;10,98;5,99;5,27;8,00;60,00
32,94;12,00;5,99;5,46;8,00;60,00
33,94;11,16;5,99;5,65;8,00;60,00
34,94;9,26;5,99;5,82;8,00;60,00
35,96;8,03;5,99;5,97;8,00;60,00
36,98;8,67;5,99;6,11;8,00;60,00
37,99;10,57;5,99;6,27;8,00;60,00
39,00;11,93;5,99;6,46;8,00;60,00
40,03;11,45;5,99;6,66;8,00;60,00
41,03;9,63;3,67;6,84;8,00;60,00
42,06;8,13;3,67;6,99;8,00;60,00
43,05;8,39;3,67;7,13;8,00;60,00
44,07;10,18;3,67;7,29;8,00;60,00
45,09;11,78;3,67;7,47;8,00;60,00
46,10;11,72;3,67;7,67;8,00;60,00
47,09;10,09;3,67;7,85;8,00;60,00
48,10;8,35;3,67;8,01;8,00;60,00
49,12;8,17;3,67;8,15;8,00;60,00
50,13;9,72;3,67;8,30;8,00;60,00
51,15;11,54;-3,25;8,48;8,00;60,00
52,15;11,91;-3,25;8,67;8,00;60,00
53,14;10,53;-3,25;8,86;8,00;60,00
54,15;8,65;-3,25;9,02;8,00;60,00
55,15;8,03;-3,25;9,16;8,00;60,00
56,15;9,21;-3,25;9,30;8,00;60,00
57,14;11,11;-3,25;9,47;8,00;60,00
58,15;12,00;-3,25;9,66;8,00;60,00
59,16;11,03;-3,25;9,86;8,00;60,00
