t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713627426,50;0,00;7,20;0,00;8,00;60,00
1713627426,50;0,00;7,20;0,00;8,00;60,00
1713627426,50;0,00;7,20;0,12;8,00;60,00
1713627426,50;0,00;7,20;0,24;8,00;60,00
1713627426,50;0,00;7,20;0,25;8,00;60,00
1713627426,50;0,00;7,20;0,26;8,00;60,00
1713627426,50;0,00;7,20;0,31;8,00;60,00
1713627426,50;0,00;7,20;0,38;8,00;60,00
1713627426,50;0,00;7,20;0,46;8,00;60,00
1713627426,50;0,00;7,20;0,55;8,00;60,00
1713627426,50;0,00;7,20;0,64;8,00;60,00
1713627426,50;0,00;7,20;0,73;8,00;60,00
1713627426,50;0,00;7,20;0,81;8,00;60,00
1713627426,50;0,00;7,20;0,88;8,00;60,00
1713627426,50;0,00;7,20;0,96;8,00;60,00
1713627426,50;0,00;8,38;1,05;8,00;60,00
1713627426,50;0,00;8,41;1,13;8,00;60,00
1713627426,50;0,00;8,41;1,20;8,00;60,00
1713627426,50;0,00;8,41;1,29;8,00;60,00
1713627426,50;0,00;8,41;1,37;8,00;60,00
1713627426,50;0,00;8,41;1,48;8,00;60,00
1713627426,50;0,00;8,41;1,60;8,00;60,00
1713627426,50;0,00;8,41;1,68;8,00;60,00
1713627426,50;0,00;8,41;1,77;8,00;60,00
1713627426,50;0,00;8,41;1,86;8,00;60,00
1713627426,50;0,00;8,41;1,96;8,00;60,00
1713627426,50;0,00;8,41;2,07;8,00;60,00
1713627426,50;0,00;8,41;2,17;8,00;60,00
1713627426,50;0,00;8,41;2,28;8,00;60,00
1713627426,50;0,00;8,41;2,37;8,00;60,00
1713627426,50;0,00;8,51;2,47;8,00;60,00
1713627426,50;0,00;8,51;2,58;8,00;60,00
1713627426,50;0,00;8,51;2,70;8,00;60,00
1713627426,50;0,00;8,51;2,79;8,00;60,00
1713627426,50;0,00;8,51;2,88;8,00;60,00
1713627426,50;0,00;8,51;2,99;8,00;60,00
1713627426,50;0,00;8,51;3,10;8,00;60,00
1713627426,50;0,00;8,51;3,20;8,00;60,00
1713627426,50;0,00;8,51;3,30;8,00;60,00
1713627426,50;0,00;8,51;3,41;8,00;60,00
1713627426,50;0,00;8,51;3,52;8,00;60,00
1713627426,50;0,00;8,51;3,64;8,00;60,00
1713627426,50;0,00;8,51;3,75;8,00;60,00
1713627426,50;0,00;8,51;3,84;8,00;60,00
1713627426,50;0,00;8,58;3,94;8,00;60,00
1713627426,50;0,00;8,58;4,04;8,00;60,00
1713627426,50;0,00;8,58;4,14;8,00;60,00
1713627426,50;0,00;8,58;4,25;8,00;60,00
1713627426,50;0,00;8,58;4,36;8,00;60,00
1713627426,50;0,00;8,58;4,46;8,00;60,00
1713627426,50;0,00;8,58;4,57;8,00;60,00
1713627426,50;0,00;8,58;4,66;8,00;60,00
1713627426,50;0,00;8,58;4,78;8,00;60,00
1713627426,50;0,00;8,58;4,88;8,00;60,00
1713627426,50;0,00;8,58;4,99;8,00;60,00
1713627426,50;0,00;8,58;5,10;8,00;60,00
1713627426,50;0,00;8,58;5,19;8,00;60,00
1713627426,50;0,00;8,58;5,30;8,00;60,00
1713627426,50;0,00;8,63;5,40;8,00;60,00
1713627426,50;0,00;8,63;5,50;8,00;60,00
1713627426,50;0,00;8,63;5,60;8,00;60,00
1713627426,50;0,00;8,63;5,69;8,00;60,00
1713627426,50;0,00;8,63;5,80;8,00;60,00
1713627426,50;0,00;8,63;5,91;8,00;60,00
1713627426,50;0,00;8,63;6,00;8,00;60,00
1713627426,50;0,00;8,63;6,11;8,00;60,00
1713627426,50;0,00;8,63;6,22;8,00;60,00
1713627426,50;0,00;8,63;6,32;8,00;60,00
1713627426,50;0,00;8,63;6,42;8,00;60,00
1713627426,50;0,00;8,63;6,64;8,00;60,00
1713627426,50;0,00;8,63;6,73;8,00;60,00
1713627426,50;0,00;8,77;6,82;8,00;60,00
1713627426,50;0,00;8,77;6,94;8,00;60,00
1713627426,50;0,00;8,77;7,03;8,00;60,00
1713627426,50;0,00;8,77;7,13;8,00;60,00
1713627426,50;0,00;8,77;7,24;8,00;60,00
1713627426,50;0,00;8,77;7,33;8,00;60,00
1713627426,50;0,00;8,77;7,44;8,00;60,00
1713627426,50;0,00;8,77;7,54;8,00;60,00
1713627426,50;0,00;8,77;7,65;8,00;60,00
1713627426,50;0,00;8,77;7,76;8,00;60,00
1713627426,50;0,00;8,77;7,85;8,00;60,00
1713627426,50;0,00;8,77;7,95;8,00;60,00
