t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;360,00;0,00;4000,00;600,00
0,00;17,96;360,00;0,00;4000,00;600,00
0,23;17,39;360,00;0,07;4000,00;600,00
0,56;16,82;360,00;0,16;4000,00;600,00
0,90;16,29;360,00;0,26;4000,00;600,00
1,21;15,80;360,00;0,34;4000,00;600,00
1,52;15,32;360,00;0,42;4000,00;600,00
1,85;14,87;360,00;0,50;4000,00;600,00
2,16;14,46;401,39;0,58;4000,00;600,00
2,48;14,06;401,39;0,65;4000,00;600,00
2,79;13,69;401,39;0,72;4000,00;600,00
3,08;13,33;401,39;0,79;4000,00;600,00
3,41;12,96;401,39;0,86;4000,00;600,00
3,72;12,68;401,39;0,93;4000,00;600,00
4,00;12,47;401,39;0,99;4000,00;600,00
4,34;12,23;402,81;1,06;4000,00;600,00
4,67;12,07;402,81;1,12;4000,00;600,00
4,95;11,94;402,81;1,18;4000,00;600,00
5,28;11,90;403,43;1,25;4000,00;600,00
5,60;11,90;403,43;1,31;4000,00;600,00
5,90;11,94;403,43;1,37;4000,00;600,00
6,22;18,48;403,43;1,45;4000,00;600,00
6,53;61,06;404,23;1,66;4000,00;600,00
6,85;158,28;404,23;2,25;4000,00;600,00
7,15;248,62;404,23;3,27;4000,00;600,00
7,46;302,98;404,23;4,68;4000,00;600,00
7,79;328,17;404,23;6,40;4000,00;600,00
8,10;340,48;404,23;8,16;4000,00;600,00
8,41;348,12;404,23;9,90;4000,00;600,00
8,72;353,60;404,71;11,73;4000,00;600,00
9,01;359,69;404,71;13,48;4000,00;600,00
9,34;369,85;404,71;15,46;4000,00;600,00
9,63;395,12;404,71;17,32;4000,00;600,00
9,96;434,08;404,71;19,58;4000,00;600,00
10,27;470,07;404,71;21,93;4000,00;600,00
10,60;495,87;404,71;24,57;4000,00;600,00
10,90;510,01;404,64;27,14;4000,00;600,00
11,21;510,01;404,64;29,77;4000,00;600,00
11,54;519,51;404,64;32,58;4000,00;600,00
11,84;521,06;404,64;35,14;4000,00;600,00
12,16;521,95;404,64;37,98;4000,00;600,00
12,47;522,72;404,64;40,68;4000,00;600,00
12,75;523,29;404,64;43,13;4000,00;600,00
13,06;523,74;404,22;45,83;4000,00;600,00
13,40;523,94;404,22;48,80;4000,00;600,00
13,71;523,66;404,22;51,49;4000,00;600,00
14,02;522,92;404,22;54,19;4000,00;600,00
14,35;521,54;404,22;57,05;4000,00;600,00
14,66;519,19;404,22;59,74;4000,00;600,00
14,94;515,77;404,22;62,15;4000,00;600,00
15,27;510,17;403,78;64,96;4000,00;600,00
15,58;500,13;403,78;67,57;4000,00;600,00
15,87;484,45;403,78;69,99;4000,00;600,00
16,23;464,26;403,78;72,84;4000,00;600,00
16,52;447,16;403,78;75,05;4000,00;600,00
16,83;430,99;403,78;77,30;4000,00;600,00
17,13;418,15;403,78;79,40;4000,00;600,00
17,45;408,89;403,58;81,63;4000,00;600,00
17,77;400,89;403,58;83,75;4000,00;600,00
18,06;393,94;403,58;85,70;4000,00;600,00
18,40;387,03;403,58;87,92;4000,00;600,00
18,70;381,75;403,58;89,82;4000,00;600,00
19,01;377,00;403,58;91,76;4000,00;600,00
19,37;373,10;403,58;94,01;4000,00;600,00
19,63;370,87;403,64;95,63;4000,00;600,00
19,97;368,92;403,64;97,72;4000,00;600,00
20,28;367,21;403,64;99,63;4000,00;600,00
20,60;366,23;403,64;101,62;4000,00;600,00
20,90;365,91;403,64;103,43;4000,00;600,00
21,23;365,95;403,64;105,44;4000,00;600,00
21,52;366,36;403,64;107,21;4000,00;600,00
21,81;366,84;403,78;109,01;4000,00;600,00
22,14;367,41;403,78;111,02;4000,00;600,00
22,48;368,02;403,78;113,09;4000,00;600,00
22,79;368,83;403,78;115,02;4000,00;600,00
23,09;369,89;403,78;116,83;4000,00;600,00
23,41;371,31;403,78;118,84;4000,00;600,00
23,72;372,94;403,78;120,77;4000,00;600,00
24,03;375,05;403,91;122,69;4000,00;600,00
24,36;375,05;403,91;124,72;4000,00;600,00
24,67;379,44;403,91;126,67;4000,00;600,00
24,98;382,28;403,91;128,65;4000,00;600,00
25,28;384,72;403,91;130,54;4000,00;600,00
25,60;387,64;403,91;132,64;4000,00;600,00
25,93;390,53;403,91;134,75;4000,00;600,00
26,24;393,41;403,99;136,80;4000,00;600,00
26,57;393,41;403,99;138,93;4000,00;600,00
26,84;398,00;403,99;140,76;4000,00;600,00
27,15;400,36;403,99;142,82;4000,00;600,00
27,48;402,23;403,99;145,00;4000,00;600,00
27,79;403,98;403,99;147,12;4000,00;600,00
28,10;405,23;403,99;149,19;4000,00;600,00
28,41;406,41;404,00;151,29;4000,00;600,00
28,75;407,51;404,00;153,60;4000,00;600,00
29,03;408,48;404,00;155,50;4000,00;600,00
29,37;409,42;404,00;157,82;4000,00;600,00
29,68;410,07;404,00;159,93;4000,00;600,00
29,98;410,43;404,00;161,95;4000,00;600,00
30,29;410,52;404,00;164,09;4000,00;600,00
30,61;410,19;403,98;166,29;4000,00;600,00
30,91;410,19;403,98;168,32;4000,00;600,00
31,25;408,89;403,98;170,64;4000,00;600,00
31,57;407,87;403,98;172,86;4000,00;600,00
31,85;407,22;403,98;174,77;4000,00;600,00
32,18;406,41;403,98;176,97;4000,00;600,00
32,48;405,60;403,98;178,98;4000,00;600,00
32,79;404,75;403,97;181,08;4000,00;600,00
33,10;404,75;403,97;183,22;4000,00;600,00
33,41;403,12;403,97;185,26;4000,00;600,00
33,72;402,51;403,97;187,35;4000,00;600,00
34,03;401,94;403,97;189,44;4000,00;600,00
34,35;401,33;403,97;191,61;4000,00;600,00
34,68;400,73;403,97;193,79;4000,00;600,00
35,00;400,12;403,97;195,88;4000,00;600,00
35,26;400,12;403,97;197,63;4000,00;600,00
35,60;399,34;403,97;199,93;4000,00;600,00
35,93;399,02;403,97;202,08;4000,00;600,00
36,24;398,82;403,97;204,15;4000,00;600,00
36,50;398,65;403,97;205,91;4000,00;600,00
36,83;398,57;403,97;208,08;4000,00;600,00
37,18;398,49;403,99;210,43;4000,00;600,00
37,52;398,49;403,99;212,67;4000,00;600,00
37,78;398,49;403,99;214,39;4000,00;600,00
38,09;398,57;403,99;216,44;4000,00;600,00
38,43;398,90;403,99;218,69;4000,00;600,00
38,72;399,14;403,99;220,65;4000,00;600,00
39,02;399,38;403,99;222,61;4000,00;600,00
39,34;399,67;404,01;224,80;4000,00;600,00
39,67;400,03;404,01;226,96;4000,00;600,00
39,99;400,28;404,01;229,08;4000,00;600,00
40,26;400,52;404,01;230,94;4000,00;600,00
40,62;400,93;404,01;233,32;4000,00;600,00
40,90;401,21;404,01;235,21;4000,00;600,00
41,21;401,42;404,01;237,27;4000,00;600,00
41,54;401,70;404,03;239,46;4000,00;600,00
41,84;401,70;404,03;241,50;4000,00;600,00
42,18;402,31;404,03;243,73;4000,00;600,00
42,47;402,72;404,03;245,73;4000,00;600,00
42,80;403,12;404,03;247,90;4000,00;600,00
43,09;403,41;404,03;249,88;4000,00;600,00
43,39;403,69;404,03;251,88;4000,00;600,00
43,72;404,02;404,03;254,08;4000,00;600,00
44,02;404,02;404,03;256,13;4000,00;600,00
44,32;404,42;404,03;258,14;4000,00;600,00
44,66;404,54;404,03;260,45;4000,00;600,00
44,97;404,54;404,03;262,55;4000,00;600,00
45,28;404,46;404,03;264,63;4000,00;600,00
45,61;404,42;404,03;266,82;4000,00;600,00
45,92;404,30;404,03;268,91;4000,00;600,00
46,22;404,18;404,03;270,98;4000,00;600,00
46,55;404,02;404,03;273,19;4000,00;600,00
46,83;403,89;404,03;275,06;4000,00;600,00
47,16;403,65;404,03;277,26;4000,00;600,00
47,47;403,45;404,03;279,38;4000,00;600,00
47,81;403,37;404,03;281,67;4000,00;600,00
48,11;403,24;404,03;283,65;4000,00;600,00
48,43;403,04;404,03;285,83;4000,00;600,00
48,71;402,92;404,03;287,72;4000,00;600,00
49,05;402,76;404,03;290,02;4000,00;600,00
49,36;402,59;404,03;292,09;4000,00;600,00
49,68;402,51;404,03;294,18;4000,00;600,00
49,97;402,43;404,03;296,17;4000,00;600,00
50,27;402,35;404,03;298,16;4000,00;600,00
50,62;402,19;404,03;300,53;4000,00;600,00
50,90;402,15;404,03;302,40;4000,00;600,00
51,23;402,11;404,03;304,58;4000,00;600,00
51,55;402,03;404,03;306,76;4000,00;600,00
51,86;402,03;404,03;308,84;4000,00;600,00
52,14;402,07;404,03;310,72;4000,00;600,00
52,50;402,11;404,04;313,11;4000,00;600,00
52,77;402,11;404,04;314,95;4000,00;600,00
53,09;402,19;404,04;317,05;4000,00;600,00
53,43;402,35;404,04;319,34;4000,00;600,00
53,72;402,47;404,04;321,32;4000,00;600,00
54,00;402,47;404,04;323,20;4000,00;600,00
54,37;402,55;404,04;325,68;4000,00;600,00
54,62;402,55;404,05;327,36;4000,00;600,00
54,95;402,59;404,05;329,56;4000,00;600,00
55,28;402,72;404,05;331,73;4000,00;600,00
55,61;402,72;404,05;333,99;4000,00;600,00
55,92;402,76;404,05;336,09;4000,00;600,00
56,24;402,80;404,05;338,17;4000,00;600,00
56,53;402,88;404,05;340,14;4000,00;600,00
56,85;403,00;404,05;342,32;4000,00;600,00
57,16;403,00;404,05;344,38;4000,00;600,00
57,49;403,20;404,05;346,60;4000,00;600,00
57,80;403,33;404,05;348,68;4000,00;600,00
58,10;403,53;404,05;350,66;4000,00;600,00
58,41;403,73;404,05;352,76;4000,00;600,00
58,72;403,98;404,05;354,84;4000,00;600,00
59,04;404,14;404,06;357,02;4000,00;600,00
59,37;404,26;404,06;359,22;4000,00;600,00
59,68;404,30;404,06;361,31;4000,00;600,00
59,96;404,30;404,06;363,22;4000,00;600,00
60,29;404,38;404,06;365,41;4000,00;600,00
60,60;404,46;404,06;367,52;4000,00;600,00
60,91;404,54;404,06;369,61;4000,00;600,00
61,23;404,67;404,06;371,81;4000,00;600,00
61,53;404,67;404,06;373,77;4000,00;600,00
61,82;404,75;404,06;375,78;4000,00;600,00
62,18;404,75;404,06;378,18;4000,00;600,00
62,48;404,63;404,06;380,20;4000,00;600,00
62,79;404,54;404,06;382,28;4000,00;600,00
63,11;404,50;404,06;384,47;4000,00;600,00
63,40;404,34;404,05;386,45;4000,00;600,00
63,73;404,14;404,05;388,66;4000,00;600,00
64,05;403,89;404,05;390,82;4000,00;600,00
64,35;403,81;404,05;392,81;4000,00;600,00
