t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,28;-0,05;7,20;-0,00;8,00;60,00
1,34;-0,05;7,20;-0,00;8,00;60,00
2,30;-0,05;7,20;-0,00;8,00;60,00
3,36;-0,05;7,20;-0,00;8,00;60,00
4,36;-0,05;7,20;-0,00;8,00;60,00
5,36;-0,05;7,20;-0,00;8,00;60,00
6,36;-0,05;7,20;-0,01;8,00;60,00
7,36;-0,06;7,20;-0,01;8,00;60,00
8,34;-0,06;7,20;-0,01;8,00;60,00
9,34;-0,06;7,20;-0,01;8,00;60,00
10,35;-0,06;9,68;-0,01;8,00;60,00
11,33;-0,06;9,68;-0,01;8,00;60,00
12,36;-0,06;9,68;-0,01;8,00;60,00
13,38;-0,06;9,68;-0,01;8,00;60,00
14,39;-0,06;9,68;-0,01;8,00;60,00
15,37;-0,06;9,68;-0,01;8,00;60,00
16,37;-0,06;9,68;-0,02;8,00;60,00
17,40;-0,06;9,68;-0,02;8,00;60,00
18,42;-0,06;9,68;-0,02;8,00;60,00
19,40;-0,06;9,68;-0,02;8,00;60,00
20,40;-0,06;12,15;-0,02;8,00;60,00
21,42;-0,07;12,15;-0,02;8,00;60,00
22,39;-0,07;12,15;-0,02;8,00;60,00
23,36;-0,07;12,15;-0,02;8,00;60,00
24,42;-0,06;12,15;-0,02;8,00;60,00
25,44;-0,06;12,15;-0,03;8,00;60,00
26,41;-0,06;12,15;-0,03;8,00;60,00
27,44;-0,06;12,15;-0,03;8,00;60,00
28,46;-0,06;12,15;-0,03;8,00;60,00
29,44;-0,07;12,15;-0,03;8,00;60,00
30,42;-0,07;16,29;-0,03;8,00;60,00
31,43;-0,07;16,29;-0,03;8,00;60,00
32,46;-0,06;16,29;-0,03;8,00;60,00
33,43;-0,06;16,29;-0,03;8,00;60,00
34,47;-0,06;16,29;-0,03;8,00;60,00
35,44;-0,07;16,29;-0,04;8,00;60,00
36,47;-0,07;16,29;-0,04;8,00;60,00
37,46;-0,07;16,29;-0,04;8,00;60,00
38,47;-0,07;16,29;-0,04;8,00;60,00
39,48;-0,07;16,29;-0,04;8,00;60,00
40,46;-0,07;24,69;-0,04;8,00;60,00
41,45;-0,07;24,69;-0,04;8,00;60,00
42,51;-0,07;24,69;-0,04;8,00;60,00
43,50;-0,07;24,69;-0,04;8,00;60,00
44,48;-0,07;24,69;-0,05;8,00;60,00
45,47;-0,07;24,69;-0,05;8,00;60,00
46,50;-0,07;24,69;-0,05;8,00;60,00
47,51;-0,07;24,69;-0,05;8,00;60,00
48,48;-0,07;24,69;-0,05;8,00;60,00
49,52;-0,07;24,69;-0,05;8,00;60,00
50,50;-0,07;50,86;-0,05;8,00;60,00
51,52;-0,07;50,86;-0,05;8,00;60,00
52,55;-0,07;50,86;-0,05;8,00;60,00
53,55;-0,07;50,86;-0,06;8,00;60,00
54,56;-0,06;50,86;-0,06;8,00;60,00
55,54;-0,07;50,86;-0,06;8,00;60,00
56,52;-0,06;50,86;-0,06;8,00;60,00
57,56;-0,06;50,86;-0,06;8,00;60,00
58,57;-0,06;50,86;-0,06;8,00;60,00
59,57;-0,06;50,86;-0,06;8,00;60,00
