t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713632943,73;0,00;7,20;0,00;8,00;60,00
1713632943,73;0,00;7,20;0,00;8,00;60,00
1713632943,73;0,00;7,20;0,06;8,00;60,00
1713632943,73;0,00;7,20;0,17;8,00;60,00
1713632943,73;0,00;7,20;0,25;8,00;60,00
1713632943,73;0,00;7,20;0,27;8,00;60,00
1713632943,73;0,00;7,20;0,28;8,00;60,00
1713632943,73;0,00;7,20;0,28;8,00;60,00
1713632943,73;0,00;7,20;0,29;8,00;60,00
1713632943,73;0,00;7,20;0,30;8,00;60,00
1713632943,73;0,00;7,20;0,31;8,00;60,00
1713632943,73;0,00;7,20;0,34;8,00;60,00
1713632943,73;0,00;7,20;0,34;8,00;60,00
1713632943,73;0,00;7,20;0,37;8,00;60,00
1713632943,73;0,00;7,20;0,41;8,00;60,00
1713632943,73;0,00;7,20;0,45;8,00;60,00
1713632943,73;0,00;7,20;0,48;8,00;60,00
1713632943,73;0,00;7,20;0,52;8,00;60,00
1713632943,73;0,00;7,20;0,56;8,00;60,00
1713632943,73;0,00;7,20;0,60;8,00;60,00
1713632943,73;0,00;7,20;0,64;8,00;60,00
1713632943,73;0,00;7,20;0,67;8,00;60,00
1713632943,73;0,00;7,20;0,71;8,00;60,00
1713632943,73;0,00;7,20;0,75;8,00;60,00
1713632943,73;0,00;7,20;0,79;8,00;60,00
1713632943,73;0,00;7,20;0,82;8,00;60,00
1713632943,73;0,00;7,20;0,87;8,00;60,00
1713632943,73;0,00;7,20;0,90;8,00;60,00
1713632943,73;0,00;7,20;0,94;8,00;60,00
1713632943,73;0,00;7,20;0,98;8,00;60,00
1713632943,73;0,00;7,20;1,02;8,00;60,00
1713632943,73;0,00;7,20;1,06;8,00;60,00
1713632943,73;0,00;7,20;1,10;8,00;60,00
1713632943,73;0,00;8,33;1,10;8,00;60,00
1713632943,73;0,00;8,34;1,14;8,00;60,00
1713632943,73;0,00;8,34;1,17;8,00;60,00
1713632943,73;0,00;8,34;1,21;8,00;60,00
1713632943,73;0,00;8,34;1,25;8,00;60,00
1713632943,73;0,00;8,34;1,29;8,00;60,00
1713632943,73;0,00;8,34;1,33;8,00;60,00
1713632943,73;0,00;8,34;1,38;8,00;60,00
1713632943,73;0,00;8,34;1,42;8,00;60,00
1713632943,73;0,00;8,34;1,46;8,00;60,00
1713632943,73;0,00;8,34;1,51;8,00;60,00
1713632943,73;0,00;8,34;1,55;8,00;60,00
1713632943,73;0,00;8,34;1,59;8,00;60,00
1713632943,73;0,00;8,34;1,63;8,00;60,00
1713632943,73;0,00;8,34;1,68;8,00;60,00
1713632943,73;0,00;8,34;1,72;8,00;60,00
1713632943,73;0,00;8,34;1,77;8,00;60,00
1713632943,73;0,00;8,34;1,81;8,00;60,00
1713632943,73;0,00;8,34;1,85;8,00;60,00
1713632943,73;0,00;8,34;1,90;8,00;60,00
1713632943,73;0,00;8,34;1,95;8,00;60,00
1713632943,73;0,00;8,34;1,95;8,00;60,00
1713632943,73;0,00;8,34;1,99;8,00;60,00
1713632943,73;0,00;8,34;2,03;8,00;60,00
1713632943,73;0,00;8,34;2,08;8,00;60,00
1713632943,73;0,00;8,34;2,12;8,00;60,00
1713632943,73;0,00;8,34;2,17;8,00;60,00
1713632943,73;0,00;8,34;2,21;8,00;60,00
1713632943,73;0,00;8,34;2,26;8,00;60,00
1713632943,73;0,00;8,34;2,30;8,00;60,00
1713632943,73;0,00;8,34;2,34;8,00;60,00
1713632943,73;0,00;8,34;2,39;8,00;60,00
1713632943,73;0,00;8,34;2,43;8,00;60,00
1713632943,73;0,00;8,41;2,48;8,00;60,00
1713632943,73;0,00;8,41;2,52;8,00;60,00
1713632943,73;0,00;8,41;2,57;8,00;60,00
1713632943,73;0,00;8,41;2,61;8,00;60,00
1713632943,73;0,00;8,41;2,66;8,00;60,00
1713632943,73;0,00;8,41;2,70;8,00;60,00
1713632943,73;0,00;8,41;2,74;8,00;60,00
1713632943,73;0,00;8,41;2,79;8,00;60,00
1713632943,73;0,00;8,41;2,83;8,00;60,00
1713632943,73;0,00;8,41;2,83;8,00;60,00
1713632943,73;0,00;8,41;2,88;8,00;60,00
1713632943,73;0,00;8,41;2,92;8,00;60,00
1713632943,73;0,00;8,41;2,97;8,00;60,00
1713632943,73;0,00;8,41;3,01;8,00;60,00
1713632943,73;0,00;8,41;3,06;8,00;60,00
1713632943,73;0,00;8,41;3,11;8,00;60,00
1713632943,73;0,00;8,41;3,15;8,00;60,00
1713632943,73;0,00;8,41;3,19;8,00;60,00
1713632943,73;0,00;8,41;3,24;8,00;60,00
1713632943,73;0,00;8,41;3,28;8,00;60,00
1713632943,73;0,00;8,41;3,33;8,00;60,00
1713632943,73;0,00;8,41;3,37;8,00;60,00
1713632943,73;0,00;8,41;3,42;8,00;60,00
1713632943,73;0,00;8,41;3,47;8,00;60,00
1713632943,73;0,00;8,41;3,51;8,00;60,00
1713632943,73;0,00;8,41;3,55;8,00;60,00
1713632943,73;0,00;8,41;3,60;8,00;60,00
1713632943,73;0,00;8,41;3,65;8,00;60,00
1713632943,73;0,00;8,41;3,65;8,00;60,00
1713632943,73;0,00;8,41;3,69;8,00;60,00
1713632943,73;0,00;8,41;3,74;8,00;60,00
1713632943,73;0,00;8,41;3,78;8,00;60,00
