t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713624998,46;0,00;0,00;0,00;8,00;60,00
1713624998,46;0,00;0,00;0,00;8,00;60,00
1713624998,46;0,00;0,00;0,00;8,00;60,00
1713624998,46;0,00;0,00;0,00;8,00;60,00
1713624998,46;0,00;0,00;0,00;8,00;60,00
1713624998,46;0,00;0,00;0,00;8,00;60,00
1713624998,46;0,00;0,00;0,01;8,00;60,00
1713624998,46;0,00;0,00;0,01;8,00;60,00
1713624998,46;0,00;0,00;0,02;8,00;60,00
1713624998,46;0,00;0,00;0,03;8,00;60,00
1713624998,46;0,00;0,00;0,03;8,00;60,00
1713624998,46;0,00;0,00;0,04;8,00;60,00
1713624998,46;0,00;0,00;0,05;8,00;60,00
1713624998,46;0,00;0,00;0,06;8,00;60,00
1713624998,46;0,00;0,00;0,07;8,00;60,00
1713624998,46;0,00;0,00;0,08;8,00;60,00
1713624998,46;0,00;0,00;0,10;8,00;60,00
1713624998,46;0,00;0,00;0,11;8,00;60,00
1713624998,46;0,00;0,00;0,13;8,00;60,00
1713624998,46;0,00;0,00;0,14;8,00;60,00
1713624998,46;0,00;0,00;0,16;8,00;60,00
1713624998,46;0,00;0,00;0,17;8,00;60,00
1713624998,46;0,00;0,00;0,19;8,00;60,00
1713624998,46;0,00;0,00;0,21;8,00;60,00
1713624998,46;0,00;0,00;0,23;8,00;60,00
1713624998,46;0,00;0,00;0,25;8,00;60,00
1713624998,46;0,00;0,00;0,27;8,00;60,00
1713624998,46;0,00;0,00;0,29;8,00;60,00
1713624998,46;0,00;0,00;0,31;8,00;60,00
1713624998,46;0,00;0,00;0,33;8,00;60,00
1713624998,46;0,00;0,00;0,35;8,00;60,00
1713624998,46;0,00;0,00;0,37;8,00;60,00
1713624998,46;0,00;0,00;0,40;8,00;60,00
1713624998,46;0,00;0,00;0,42;8,00;60,00
1713624998,46;0,00;0,00;0,45;8,00;60,00
1713624998,46;0,00;0,00;0,47;8,00;60,00
1713624998,46;0,00;0,00;0,50;8,00;60,00
1713624998,46;0,00;0,00;0,52;8,00;60,00
1713624998,46;0,00;0,00;0,55;8,00;60,00
1713624998,46;0,00;0,00;0,57;8,00;60,00
1713624998,46;0,00;0,00;0,60;8,00;60,00
1713624998,46;0,00;0,00;0,63;8,00;60,00
1713624998,46;0,00;0,00;0,66;8,00;60,00
1713624998,46;0,00;0,00;0,69;8,00;60,00
1713624998,46;0,00;0,00;0,72;8,00;60,00
1713624998,46;0,00;0,00;0,74;8,00;60,00
1713624998,46;0,00;0,00;0,77;8,00;60,00
1713624998,46;0,00;0,00;0,81;8,00;60,00
1713624998,46;0,00;0,00;0,84;8,00;60,00
1713624998,46;0,00;0,00;0,87;8,00;60,00
1713624998,46;0,00;0,00;0,90;8,00;60,00
1713624998,46;0,00;0,00;0,93;8,00;60,00
1713624998,46;0,00;0,00;0,96;8,00;60,00
1713624998,46;0,00;0,00;1,00;8,00;60,00
1713624998,46;0,00;0,00;1,03;8,00;60,00
1713624998,46;0,00;0,00;1,06;8,00;60,00
1713624998,46;0,00;0,00;1,10;8,00;60,00
1713624998,46;0,00;0,00;1,13;8,00;60,00
1713624998,46;0,00;0,00;1,16;8,00;60,00
1713624998,46;0,00;0,00;1,20;8,00;60,00
1713624998,46;0,00;0,00;1,23;8,00;60,00
1713624998,46;0,00;0,00;1,27;8,00;60,00
1713624998,46;0,00;0,00;1,31;8,00;60,00
1713624998,46;0,00;0,00;1,34;8,00;60,00
1713624998,46;0,00;0,00;1,38;8,00;60,00
1713624998,46;0,00;0,00;1,42;8,00;60,00
1713624998,46;0,00;0,00;1,45;8,00;60,00
1713624998,46;0,00;0,00;1,49;8,00;60,00
1713624998,46;0,00;0,00;1,53;8,00;60,00
1713624998,46;0,00;0,00;1,57;8,00;60,00
1713624998,46;0,00;0,00;1,61;8,00;60,00
1713624998,46;0,00;0,00;1,65;8,00;60,00
1713624998,46;0,00;0,00;1,69;8,00;60,00
1713624998,46;0,00;0,00;1,72;8,00;60,00
1713624998,46;0,00;0,00;1,76;8,00;60,00
1713624998,46;0,00;0,00;1,81;8,00;60,00
1713624998,46;0,00;0,00;1,85;8,00;60,00
1713624998,46;0,00;0,00;1,89;8,00;60,00
1713624998,46;0,00;0,00;1,93;8,00;60,00
1713624998,46;0,00;0,00;1,97;8,00;60,00
1713624998,46;0,00;0,00;2,01;8,00;60,00
1713624998,46;0,00;0,00;2,05;8,00;60,00
1713624998,46;0,00;0,00;2,10;8,00;60,00
1713624998,46;0,00;0,00;2,14;8,00;60,00
1713624998,46;0,00;0,00;2,18;8,00;60,00
1713624998,46;0,00;0,00;2,22;8,00;60,00
1713624998,46;0,00;0,00;2,27;8,00;60,00
1713624998,46;0,00;0,00;2,31;8,00;60,00
1713624998,46;0,00;0,00;2,35;8,00;60,00
1713624998,46;0,00;0,00;2,40;8,00;60,00
1713624998,46;0,00;0,00;2,44;8,00;60,00
1713624998,46;0,00;0,00;2,49;8,00;60,00
1713624998,46;0,00;0,00;2,53;8,00;60,00
1713624998,46;0,00;0,00;2,58;8,00;60,00
1713624998,46;0,00;0,00;2,62;8,00;60,00
1713624998,46;0,00;0,00;2,67;8,00;60,00
