t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,00;0,02;7,20;0,00;8,00;60,00
0,11;34,27;7,20;0,03;8,00;60,00
0,44;16,65;7,20;0,17;8,00;60,00
0,75;5,85;7,20;0,23;8,00;60,00
1,06;1,22;7,20;0,25;8,00;60,00
1,34;0,38;7,20;0,25;8,00;60,00
1,68;0,16;7,20;0,25;8,00;60,00
1,96;0,32;7,20;0,25;8,00;60,00
2,30;1,19;7,20;0,26;8,00;60,00
2,59;3,83;7,20;0,27;8,00;60,00
2,95;5,94;7,20;0,30;8,00;60,00
3,22;6,71;7,20;0,33;8,00;60,00
3,55;7,00;7,20;0,36;8,00;60,00
3,86;7,08;7,20;0,40;8,00;60,00
4,18;7,11;7,20;0,44;8,00;60,00
4,50;7,13;7,20;0,48;8,00;60,00
4,79;7,13;7,20;0,51;8,00;60,00
5,11;7,13;7,20;0,55;8,00;60,00
5,41;7,13;7,20;0,58;8,00;60,00
5,75;7,13;7,20;0,63;8,00;60,00
6,04;7,14;7,20;0,66;8,00;60,00
6,37;7,14;7,20;0,70;8,00;60,00
6,65;7,14;7,20;0,73;8,00;60,00
6,99;7,14;7,20;0,77;8,00;60,00
7,32;7,14;7,20;0,81;8,00;60,00
7,62;7,14;7,20;0,85;8,00;60,00
7,93;7,14;7,20;0,88;8,00;60,00
8,24;7,14;7,20;0,92;8,00;60,00
8,55;7,14;7,20;0,96;8,00;60,00
8,84;7,14;7,20;0,99;8,00;60,00
9,15;7,14;7,20;1,03;8,00;60,00
9,48;7,14;7,20;1,07;8,00;60,00
9,81;7,14;7,20;1,11;8,00;60,00
10,12;7,14;8,25;1,14;8,00;60,00
10,44;7,15;8,25;1,18;8,00;60,00
10,75;7,21;8,25;1,22;8,00;60,00
11,06;7,33;8,25;1,26;8,00;60,00
11,37;7,50;8,25;1,30;8,00;60,00
11,68;7,63;8,25;1,34;8,00;60,00
11,99;7,73;8,25;1,37;8,00;60,00
12,30;7,79;8,25;1,42;8,00;60,00
12,63;7,82;8,25;1,46;8,00;60,00
12,94;7,86;8,25;1,50;8,00;60,00
13,23;7,88;8,25;1,54;8,00;60,00
13,52;7,89;8,25;1,57;8,00;60,00
13,86;7,91;8,25;1,62;8,00;60,00
14,19;7,92;8,25;1,66;8,00;60,00
14,48;7,93;8,25;1,70;8,00;60,00
14,79;7,94;8,25;1,74;8,00;60,00
15,12;7,95;8,25;1,79;8,00;60,00
15,43;7,96;8,25;1,83;8,00;60,00
15,70;7,96;8,25;1,86;8,00;60,00
16,06;7,97;8,25;1,91;8,00;60,00
16,38;7,97;8,25;1,95;8,00;60,00
16,69;7,98;8,25;1,99;8,00;60,00
16,98;7,99;8,25;2,03;8,00;60,00
17,29;8,00;8,25;2,07;8,00;60,00
17,61;8,00;8,25;2,12;8,00;60,00
17,92;8,01;8,25;2,16;8,00;60,00
18,23;8,01;8,25;2,20;8,00;60,00
18,56;8,02;8,25;2,24;8,00;60,00
18,85;8,03;8,25;2,28;8,00;60,00
19,15;8,03;8,25;2,32;8,00;60,00
