t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714059731,07;0,00;40,00;0,00;8,00;60,00
1714059731,07;0,00;40,00;0,00;8,00;60,00
1714059731,07;0,00;40,00;0,00;8,00;60,00
1714059731,07;0,00;40,00;0,00;8,00;60,00
1714059731,07;0,00;40,00;0,01;8,00;60,00
1714059731,07;0,00;40,00;0,01;8,00;60,00
1714059731,07;0,00;40,00;0,01;8,00;60,00
1714059731,07;0,00;40,00;0,01;8,00;60,00
1714059731,07;0,00;40,00;0,04;8,00;60,00
1714059731,07;0,00;40,00;0,09;8,00;60,00
1714059731,07;0,00;40,00;0,09;8,00;60,00
1714059731,07;0,00;40,00;0,20;8,00;60,00
1714059731,07;0,00;40,00;0,31;8,00;60,00
1714059731,07;0,00;40,00;0,52;8,00;60,00
1714059731,07;0,00;40,00;0,75;8,00;60,00
1714059731,07;0,00;40,00;0,75;8,00;60,00
1714059731,07;0,00;7,65;0,99;8,00;60,00
1714059731,07;0,00;7,38;1,27;8,00;60,00
