t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,01;0,02;7,20;0,00;8,00;60,00
0,09;23,28;7,20;0,02;8,00;60,00
0,42;12,12;7,20;0,11;8,00;60,00
0,72;2,60;7,20;0,15;8,00;60,00
1,03;0,67;7,20;0,16;8,00;60,00
1,34;0,21;7,20;0,16;8,00;60,00
1,67;0,18;7,20;0,16;8,00;60,00
1,97;0,42;7,20;0,16;8,00;60,00
2,26;2,12;7,20;0,17;8,00;60,00
2,58;4,90;7,20;0,19;8,00;60,00
2,91;6,40;7,20;0,22;8,00;60,00
3,21;6,92;7,20;0,25;8,00;60,00
3,52;7,09;7,20;0,29;8,00;60,00
3,81;7,13;7,20;0,32;8,00;60,00
4,17;7,13;7,20;0,37;8,00;60,00
4,45;7,13;7,20;0,40;8,00;60,00
4,77;7,13;7,20;0,44;8,00;60,00
5,09;7,13;7,20;0,48;8,00;60,00
5,40;7,13;7,20;0,51;8,00;60,00
5,72;7,13;7,20;0,55;8,00;60,00
6,02;7,13;7,20;0,59;8,00;60,00
6,35;7,13;7,20;0,63;8,00;60,00
6,64;7,14;7,20;0,66;8,00;60,00
6,97;7,14;7,20;0,70;8,00;60,00
7,28;7,14;7,20;0,74;8,00;60,00
7,60;7,14;7,20;0,77;8,00;60,00
7,90;7,14;7,20;0,81;8,00;60,00
8,21;7,14;7,20;0,85;8,00;60,00
8,54;7,14;7,20;0,89;8,00;60,00
8,86;7,14;7,20;0,92;8,00;60,00
9,16;7,14;7,20;0,96;8,00;60,00
9,43;7,14;7,20;0,99;8,00;60,00
9,78;7,14;7,20;1,03;8,00;60,00
10,08;7,14;8,33;1,07;8,00;60,00
10,46;7,15;8,34;1,12;8,00;60,00
10,91;7,19;8,34;1,17;8,00;60,00
11,03;7,34;8,34;1,18;8,00;60,00
11,36;7,54;8,34;1,22;8,00;60,00
11,63;7,71;8,34;1,26;8,00;60,00
11,94;7,82;8,34;1,30;8,00;60,00
12,27;7,89;8,34;1,34;8,00;60,00
12,58;7,94;8,34;1,38;8,00;60,00
12,90;7,97;8,34;1,43;8,00;60,00
13,21;7,98;8,34;1,47;8,00;60,00
13,52;8,00;8,34;1,51;8,00;60,00
13,83;8,02;8,34;1,55;8,00;60,00
14,14;8,03;8,34;1,59;8,00;60,00
14,46;8,03;8,34;1,63;8,00;60,00
14,78;8,04;8,34;1,68;8,00;60,00
15,09;8,05;8,34;1,72;8,00;60,00
15,40;8,06;8,34;1,76;8,00;60,00
15,72;8,06;8,34;1,80;8,00;60,00
16,03;8,07;8,34;1,84;8,00;60,00
16,30;8,08;8,34;1,88;8,00;60,00
16,65;8,08;8,34;1,93;8,00;60,00
16,98;8,09;8,34;1,97;8,00;60,00
17,29;8,10;8,34;2,01;8,00;60,00
17,62;8,10;8,34;2,06;8,00;60,00
17,88;8,11;8,34;2,09;8,00;60,00
18,22;8,11;8,34;2,14;8,00;60,00
18,56;8,12;8,34;2,19;8,00;60,00
18,85;8,13;8,34;2,22;8,00;60,00
19,15;8,14;8,34;2,26;8,00;60,00
19,48;8,14;8,34;2,31;8,00;60,00
19,79;8,15;8,34;2,35;8,00;60,00
20,10;8,15;8,34;2,39;8,00;60,00
20,39;8,15;8,34;2,43;8,00;60,00
20,70;8,16;8,43;2,48;8,00;60,00
21,05;8,16;8,43;2,52;8,00;60,00
21,35;8,17;8,43;2,56;8,00;60,00
21,65;8,17;8,43;2,60;8,00;60,00
21,96;8,18;8,43;2,65;8,00;60,00
22,28;8,18;8,43;2,69;8,00;60,00
22,59;8,19;8,43;2,73;8,00;60,00
22,92;8,20;8,43;2,78;8,00;60,00
23,23;8,21;8,43;2,82;8,00;60,00
23,54;8,22;8,43;2,86;8,00;60,00
23,83;8,22;8,43;2,90;8,00;60,00
24,15;8,23;8,43;2,95;8,00;60,00
24,48;8,23;8,43;2,99;8,00;60,00
24,79;8,24;8,43;3,03;8,00;60,00
25,10;8,24;8,43;3,08;8,00;60,00
25,41;8,25;8,43;3,12;8,00;60,00
25,73;8,25;8,43;3,16;8,00;60,00
26,04;8,25;8,43;3,21;8,00;60,00
26,35;8,26;8,43;3,25;8,00;60,00
26,66;8,26;8,43;3,29;8,00;60,00
26,95;8,26;8,43;3,33;8,00;60,00
27,28;8,27;8,43;3,38;8,00;60,00
27,59;8,27;8,43;3,42;8,00;60,00
27,92;8,28;8,43;3,46;8,00;60,00
28,23;8,28;8,43;3,51;8,00;60,00
28,56;8,29;8,43;3,55;8,00;60,00
28,83;8,29;8,43;3,59;8,00;60,00
29,16;8,29;8,43;3,64;8,00;60,00
29,44;8,29;8,43;3,67;8,00;60,00
29,78;8,30;8,43;3,72;8,00;60,00
30,09;8,30;8,43;3,77;8,00;60,00
30,41;8,30;8,43;3,81;8,00;60,00
30,72;8,31;8,50;3,85;8,00;60,00
31,06;8,31;8,50;3,90;8,00;60,00
31,34;8,31;8,50;3,94;8,00;60,00
31,65;8,31;8,50;3,98;8,00;60,00
31,98;8,32;8,50;4,03;8,00;60,00
32,29;8,32;8,50;4,07;8,00;60,00
32,60;8,33;8,50;4,11;8,00;60,00
32,91;8,34;8,50;4,16;8,00;60,00
33,22;8,34;8,50;4,20;8,00;60,00
33,55;8,34;8,50;4,24;8,00;60,00
33,84;8,35;8,50;4,28;8,00;60,00
34,14;8,35;8,50;4,33;8,00;60,00
34,47;8,35;8,50;4,37;8,00;60,00
34,79;8,36;8,50;4,42;8,00;60,00
35,09;8,36;8,50;4,46;8,00;60,00
35,40;8,36;8,50;4,50;8,00;60,00
35,72;8,37;8,50;4,55;8,00;60,00
36,03;8,37;8,50;4,59;8,00;60,00
36,33;8,37;8,50;4,63;8,00;60,00
36,64;8,37;8,50;4,68;8,00;60,00
36,98;8,38;8,50;4,72;8,00;60,00
37,27;8,38;8,50;4,76;8,00;60,00
37,60;8,38;8,50;4,81;8,00;60,00
37,91;8,38;8,50;4,85;8,00;60,00
38,23;8,39;8,50;4,90;8,00;60,00
38,54;8,39;8,50;4,94;8,00;60,00
38,83;8,39;8,50;4,98;8,00;60,00
39,14;8,39;8,50;5,02;8,00;60,00
39,47;8,39;8,50;5,07;8,00;60,00
39,78;8,40;8,50;5,11;8,00;60,00
40,11;8,40;8,50;5,16;8,00;60,00
40,42;8,40;8,50;5,20;8,00;60,00
40,71;8,40;8,50;5,24;8,00;60,00
41,04;8,41;8,57;5,29;8,00;60,00
41,49;8,41;8,57;5,35;8,00;60,00
41,66;8,41;8,57;5,38;8,00;60,00
41,94;8,41;8,57;5,42;8,00;60,00
42,26;8,41;8,57;5,46;8,00;60,00
42,59;8,42;8,57;5,51;8,00;60,00
42,91;8,43;8,57;5,55;8,00;60,00
43,22;8,44;8,57;5,60;8,00;60,00
43,53;8,45;8,57;5,64;8,00;60,00
43,82;8,46;8,57;5,68;8,00;60,00
44,14;8,46;8,57;5,73;8,00;60,00
44,47;8,46;8,57;5,77;8,00;60,00
44,77;8,47;8,57;5,81;8,00;60,00
45,08;8,47;8,57;5,86;8,00;60,00
45,42;8,47;8,57;5,91;8,00;60,00
45,72;8,47;8,57;5,95;8,00;60,00
46,02;8,48;8,57;5,99;8,00;60,00
46,34;8,48;8,57;6,04;8,00;60,00
46,64;8,48;8,57;6,08;8,00;60,00
46,98;8,48;8,57;6,13;8,00;60,00
47,27;8,49;8,57;6,17;8,00;60,00
47,60;8,49;8,57;6,21;8,00;60,00
47,91;8,49;8,57;6,26;8,00;60,00
48,23;8,49;8,57;6,30;8,00;60,00
48,57;8,49;8,57;6,35;8,00;60,00
48,82;8,50;8,57;6,39;8,00;60,00
49,15;8,50;8,57;6,43;8,00;60,00
49,46;8,50;8,57;6,48;8,00;60,00
49,78;8,50;8,57;6,52;8,00;60,00
50,11;8,50;8,57;6,57;8,00;60,00
50,42;8,50;8,57;6,61;8,00;60,00
50,71;8,50;8,57;6,66;8,00;60,00
51,04;8,50;8,57;6,70;8,00;60,00
51,33;8,50;8,70;6,74;8,00;60,00
51,71;8,50;8,70;6,80;8,00;60,00
