t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713626409,29;0,00;7,20;0,00;8,00;60,00
1713626409,29;0,00;7,20;0,00;8,00;60,00
1713626409,29;0,00;7,20;0,14;8,00;60,00
1713626409,29;0,00;7,20;0,43;8,00;60,00
1713626409,29;0,00;7,20;0,73;8,00;60,00
1713626409,29;0,00;7,20;1,03;8,00;60,00
1713626409,29;0,00;7,20;1,37;8,00;60,00
1713626409,29;0,00;7,20;1,78;8,00;60,00
1713626409,29;0,00;7,20;2,27;8,00;60,00
1713626409,29;0,00;7,20;2,83;8,00;60,00
1713626409,29;0,00;7,20;3,47;8,00;60,00
1713626409,29;0,00;7,20;4,18;8,00;60,00
1713626409,29;0,00;7,20;4,98;8,00;60,00
1713626409,29;0,00;7,20;5,85;8,00;60,00
1713626409,29;0,00;7,20;6,80;8,00;60,00
1713626409,29;0,00;7,20;7,83;8,00;60,00
1713626409,29;0,00;-1,13;8,94;8,00;60,00
1713626409,29;0,00;-2,60;10,12;8,00;60,00
1713626409,29;0,00;-2,60;11,37;8,00;60,00
1713626409,29;0,00;-2,60;12,65;8,00;60,00
1713626409,29;0,00;-2,60;13,99;8,00;60,00
1713626409,29;0,00;-2,60;15,41;8,00;60,00
1713626409,29;0,00;-2,60;16,91;8,00;60,00
1713626409,29;0,00;-2,60;18,48;8,00;60,00
1713626409,29;0,00;-2,60;20,13;8,00;60,00
1713626409,29;0,00;-2,60;21,84;8,00;60,00
1713626409,29;0,00;-2,60;23,58;8,00;60,00
1713626409,29;0,00;-2,60;25,40;8,00;60,00
1713626409,29;0,00;-2,60;27,28;8,00;60,00
1713626409,29;0,00;-2,60;29,20;8,00;60,00
1713626409,29;0,00;-2,60;31,21;8,00;60,00
1713626409,29;0,00;-2,60;33,29;8,00;60,00
1713626409,29;0,00;-2,60;35,41;8,00;60,00
1713626409,29;0,00;-2,60;37,58;8,00;60,00
1713626409,29;0,00;-2,60;39,84;8,00;60,00
1713626409,29;0,00;-2,60;42,17;8,00;60,00
1713626409,29;0,00;-56,60;44,58;8,00;60,00
1713626409,29;0,00;-56,60;47,06;8,00;60,00
1713626409,29;0,00;-56,60;49,61;8,00;60,00
1713626409,29;0,00;-56,60;52,25;8,00;60,00
1713626409,29;0,00;-56,60;54,96;8,00;60,00
1713626409,29;0,00;-56,60;57,75;8,00;60,00
1713626409,29;0,00;-56,60;60,61;8,00;60,00
1713626409,29;0,00;-56,60;63,56;8,00;60,00
1713626409,29;0,00;-56,60;66,58;8,00;60,00
1713626409,29;0,00;-56,60;69,69;8,00;60,00
1713626409,29;0,00;-56,60;72,87;8,00;60,00
1713626409,29;0,00;-56,60;76,13;8,00;60,00
1713626409,29;0,00;-56,60;79,47;8,00;60,00
1713626409,29;0,00;-56,60;82,88;8,00;60,00
1713626409,29;0,00;-56,60;86,33;8,00;60,00
1713626409,29;0,00;-56,60;89,83;8,00;60,00
1713626409,29;0,00;-56,60;93,36;8,00;60,00
1713626409,29;0,00;-56,60;96,93;8,00;60,00
1713626409,29;0,00;-56,60;100,54;8,00;60,00
1713626409,29;0,00;-202,56;104,19;8,00;60,00
