t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,16;10,31;7,20;0,01;8,00;60,00
0,47;10,90;7,20;0,07;8,00;60,00
0,78;11,40;7,20;0,13;8,00;60,00
1,09;11,77;7,20;0,19;8,00;60,00
1,41;11,98;7,20;0,25;8,00;60,00
1,72;11,98;7,20;0,31;8,00;60,00
2,03;11,79;7,20;0,37;8,00;60,00
2,34;11,43;7,20;0,43;8,00;60,00
2,65;10,94;7,20;0,49;8,00;60,00
2,97;10,33;7,20;0,55;8,00;60,00
3,29;9,72;7,20;0,60;8,00;60,00
3,59;9,13;7,20;0,65;8,00;60,00
3,90;8,63;7,20;0,69;8,00;60,00
4,21;8,24;7,20;0,74;8,00;60,00
4,53;8,03;7,20;0,78;8,00;60,00
4,85;8,02;7,20;0,82;8,00;60,00
5,16;8,20;7,20;0,87;8,00;60,00
5,46;8,53;7,20;0,91;8,00;60,00
5,78;9,03;7,20;0,95;8,00;60,00
6,09;9,62;7,20;1,00;8,00;60,00
6,40;10,24;7,20;1,05;8,00;60,00
6,71;10,83;7,20;1,11;8,00;60,00
7,03;11,35;7,20;1,17;8,00;60,00
7,39;11,74;7,20;1,24;8,00;60,00
7,65;11,96;7,20;1,29;8,00;60,00
7,96;11,99;7,20;1,35;8,00;60,00
8,29;11,81;7,20;1,42;8,00;60,00
8,60;11,47;7,20;1,48;8,00;60,00
8,91;10,98;7,20;1,53;8,00;60,00
9,22;10,42;7,20;1,59;8,00;60,00
9,54;9,80;7,20;1,64;8,00;60,00
9,84;9,20;7,20;1,69;8,00;60,00
10,15;8,67;7,54;1,74;8,00;60,00
10,47;8,27;7,53;1,78;8,00;60,00
10,78;8,05;7,53;1,82;8,00;60,00
11,09;8,01;7,53;1,86;8,00;60,00
11,42;8,17;7,53;1,91;8,00;60,00
11,73;8,51;7,53;1,95;8,00;60,00
12,04;8,98;7,53;2,00;8,00;60,00
12,34;9,54;7,53;2,04;8,00;60,00
12,65;10,16;7,53;2,10;8,00;60,00
12,97;10,79;7,53;2,15;8,00;60,00
13,29;11,32;7,53;2,21;8,00;60,00
13,60;11,71;7,53;2,27;8,00;60,00
13,91;11,95;7,53;2,33;8,00;60,00
14,22;11,99;7,53;2,39;8,00;60,00
14,53;11,85;7,53;2,45;8,00;60,00
14,84;11,53;7,53;2,51;8,00;60,00
15,15;11,06;7,53;2,57;8,00;60,00
15,48;10,46;7,53;2,63;8,00;60,00
15,79;9,84;7,53;2,68;8,00;60,00
16,10;9,24;7,53;2,73;8,00;60,00
16,41;8,71;7,53;2,78;8,00;60,00
16,72;8,31;7,53;2,82;8,00;60,00
17,03;8,06;7,53;2,87;8,00;60,00
17,34;8,00;7,53;2,91;8,00;60,00
17,66;8,14;7,53;2,95;8,00;60,00
17,97;8,45;7,53;2,99;8,00;60,00
18,28;8,91;7,53;3,04;8,00;60,00
18,60;9,51;7,53;3,09;8,00;60,00
18,91;10,12;7,53;3,14;8,00;60,00
19,22;10,73;7,53;3,19;8,00;60,00
19,53;11,26;7,53;3,25;8,00;60,00
19,84;11,67;7,53;3,31;8,00;60,00
20,16;11,93;7,53;3,37;8,00;60,00
20,47;12,00;6,93;3,43;8,00;60,00
20,78;11,87;6,93;3,50;8,00;60,00
21,09;11,57;6,93;3,56;8,00;60,00
21,42;11,09;6,93;3,62;8,00;60,00
21,73;10,53;6,93;3,67;8,00;60,00
22,02;9,93;6,93;3,72;8,00;60,00
22,39;9,32;6,93;3,78;8,00;60,00
22,66;8,76;6,93;3,82;8,00;60,00
22,97;8,34;6,93;3,87;8,00;60,00
23,28;8,08;6,93;3,91;8,00;60,00
23,60;8,00;6,93;3,95;8,00;60,00
23,91;8,12;6,93;3,99;8,00;60,00
