t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,00;0,01;7,20;0,00;8,00;60,00
0,06;11,92;7,20;0,01;8,00;60,00
0,40;8,14;7,20;0,06;8,00;60,00
0,71;5,25;7,20;0,10;8,00;60,00
1,01;2,87;7,20;0,12;8,00;60,00
1,33;1,67;7,20;0,13;8,00;60,00
1,64;1,08;7,20;0,14;8,00;60,00
1,95;0,81;7,20;0,14;8,00;60,00
2,26;0,66;7,20;0,15;8,00;60,00
2,60;0,56;7,20;0,15;8,00;60,00
2,90;0,48;7,20;0,15;8,00;60,00
3,20;0,44;7,20;0,15;8,00;60,00
3,51;0,41;7,20;0,16;8,00;60,00
3,85;0,38;7,20;0,16;8,00;60,00
4,16;0,36;7,20;0,16;8,00;60,00
4,46;0,35;7,20;0,16;8,00;60,00
4,75;0,34;7,20;0,16;8,00;60,00
5,09;0,33;7,20;0,17;8,00;60,00
5,39;0,32;7,20;0,17;8,00;60,00
5,73;0,31;7,20;0,17;8,00;60,00
6,02;0,30;7,20;0,17;8,00;60,00
6,33;0,30;7,20;0,17;8,00;60,00
6,66;0,29;7,20;0,17;8,00;60,00
6,93;0,29;7,20;0,17;8,00;60,00
7,26;0,28;7,20;0,18;8,00;60,00
7,59;0,27;7,20;0,18;8,00;60,00
7,90;0,27;7,20;0,18;8,00;60,00
8,20;0,26;7,20;0,18;8,00;60,00
8,51;0,26;7,20;0,18;8,00;60,00
8,84;0,25;7,20;0,18;8,00;60,00
9,13;0,24;7,20;0,18;8,00;60,00
9,46;0,24;7,20;0,19;8,00;60,00
9,76;0,23;7,20;0,19;8,00;60,00
10,11;0,23;9,39;0,19;8,00;60,00
10,39;0,22;9,45;0,19;8,00;60,00
10,69;0,22;9,45;0,19;8,00;60,00
11,00;0,22;9,45;0,19;8,00;60,00
11,34;0,21;9,45;0,19;8,00;60,00
11,61;0,21;9,45;0,19;8,00;60,00
11,95;0,21;9,45;0,19;8,00;60,00
12,26;0,20;9,45;0,20;8,00;60,00
12,59;0,20;9,45;0,20;8,00;60,00
12,89;0,19;9,45;0,20;8,00;60,00
13,20;0,19;9,45;0,20;8,00;60,00
13,56;0,19;9,45;0,20;8,00;60,00
13,80;0,18;9,45;0,20;8,00;60,00
14,15;0,18;9,45;0,20;8,00;60,00
14,45;0,17;9,45;0,20;8,00;60,00
14,76;0,17;9,45;0,20;8,00;60,00
15,10;0,17;9,45;0,20;8,00;60,00
15,39;0,16;9,45;0,21;8,00;60,00
15,72;0,16;9,45;0,21;8,00;60,00
16,05;0,15;9,45;0,21;8,00;60,00
16,35;0,15;9,45;0,21;8,00;60,00
16,65;0,15;9,45;0,21;8,00;60,00
16,94;0,14;9,45;0,21;8,00;60,00
17,27;0,14;9,45;0,21;8,00;60,00
17,58;0,14;9,45;0,21;8,00;60,00
17,87;0,14;9,45;0,21;8,00;60,00
18,21;0,13;9,45;0,21;8,00;60,00
18,51;0,13;9,45;0,21;8,00;60,00
18,82;0,13;9,45;0,21;8,00;60,00
19,16;0,12;9,45;0,21;8,00;60,00
19,45;0,12;9,45;0,21;8,00;60,00
19,78;0,12;9,45;0,22;8,00;60,00
20,06;0,12;9,45;0,22;8,00;60,00
20,41;0,12;11,80;0,22;8,00;60,00
20,71;0,11;11,80;0,22;8,00;60,00
21,01;0,11;11,80;0,22;8,00;60,00
21,35;0,11;11,80;0,22;8,00;60,00
21,65;0,11;11,80;0,22;8,00;60,00
21,96;0,11;11,80;0,22;8,00;60,00
22,29;0,10;11,80;0,22;8,00;60,00
22,56;0,10;11,80;0,22;8,00;60,00
22,89;0,10;11,80;0,22;8,00;60,00
23,22;0,10;11,80;0,22;8,00;60,00
23,54;0,09;11,80;0,22;8,00;60,00
23,84;0,09;11,80;0,22;8,00;60,00
24,14;0,09;11,80;0,22;8,00;60,00
24,46;0,09;11,80;0,22;8,00;60,00
24,77;0,09;11,80;0,22;8,00;60,00
25,08;0,09;11,80;0,22;8,00;60,00
