t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,42;10,79;7,20;0,04;8,00;60,00
1,42;11,98;7,20;0,23;8,00;60,00
2,41;11,33;7,20;0,42;8,00;60,00
3,41;9,47;7,20;0,59;8,00;60,00
4,42;8,09;7,20;0,74;8,00;60,00
5,43;8,49;7,20;0,88;8,00;60,00
6,43;10,29;7,20;1,04;8,00;60,00
7,42;11,81;7,20;1,22;8,00;60,00
8,42;11,69;7,20;1,42;8,00;60,00
9,43;10,00;7,20;1,60;8,00;60,00
10,43;8,31;7,56;1,75;8,00;60,00
11,43;8,18;7,56;1,89;8,00;60,00
12,44;9,73;7,56;2,04;8,00;60,00
13,43;11,52;7,56;2,21;8,00;60,00
14,44;11,91;7,56;2,41;8,00;60,00
15,48;10,46;7,56;2,61;8,00;60,00
16,45;8,68;7,56;2,76;8,00;60,00
17,44;8,02;7,56;2,90;8,00;60,00
18,45;9,22;7,56;3,04;8,00;60,00
19,48;11,16;7,56;3,22;8,00;60,00
20,48;12,00;6,97;3,41;8,00;60,00
21,50;10,96;6,97;3,61;8,00;60,00
22,49;9,06;6,97;3,77;8,00;60,00
23,48;8,01;6,97;3,91;8,00;60,00
24,49;8,80;6,97;4,05;8,00;60,00
25,49;10,68;6,97;4,22;8,00;60,00
26,51;11,96;6,97;4,41;8,00;60,00
27,51;11,39;6,97;4,60;8,00;60,00
28,51;9,53;6,97;4,78;8,00;60,00
29,53;8,10;6,97;4,93;8,00;60,00
30,55;8,47;5,97;5,07;8,00;60,00
31,55;10,26;5,97;5,22;8,00;60,00
32,56;11,81;5,97;5,41;8,00;60,00
33,55;11,70;5,97;5,60;8,00;60,00
34,55;10,03;5,97;5,78;8,00;60,00
35,57;8,32;5,97;5,94;8,00;60,00
36,58;8,19;5,97;6,08;8,00;60,00
37,56;9,72;5,97;6,23;8,00;60,00
38,56;11,51;5,97;6,40;8,00;60,00
39,60;11,90;5,97;6,60;8,00;60,00
40,59;10,51;3,74;6,79;8,00;60,00
41,59;8,66;3,74;6,95;8,00;60,00
42,59;8,03;3,74;7,09;8,00;60,00
43,58;9,20;3,74;7,23;8,00;60,00
44,59;11,12;3,74;7,40;8,00;60,00
45,61;12,00;3,74;7,60;8,00;60,00
46,62;11,00;3,74;7,79;8,00;60,00
47,61;9,07;3,74;7,96;8,00;60,00
48,63;8,01;3,74;8,10;8,00;60,00
49,63;8,79;3,74;8,24;8,00;60,00
50,63;10,69;-2,59;8,41;8,00;60,00
51,61;11,95;-2,59;8,59;8,00;60,00
52,63;11,41;-2,59;8,79;8,00;60,00
53,63;9,56;-2,59;8,96;8,00;60,00
54,62;8,13;-2,59;9,11;8,00;60,00
55,64;8,42;-2,59;9,25;8,00;60,00
56,66;10,20;-2,59;9,41;8,00;60,00
57,64;11,77;-2,59;9,59;8,00;60,00
58,65;11,73;-2,59;9,78;8,00;60,00
59,64;10,11;-2,59;9,97;8,00;60,00
