t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714753415,06;0,00;0,80;0,00;8,00;60,00
1714753415,06;0,00;0,80;0,00;8,00;60,00
1714753415,06;0,00;0,80;0,00;8,00;60,00
1714753415,06;0,00;0,80;0,00;8,00;60,00
1714753415,06;0,00;0,80;0,00;8,00;60,00
1714753415,06;0,00;0,80;0,00;8,00;60,00
1714753415,06;0,00;0,86;0,00;8,00;60,00
1714753415,06;0,00;1,21;0,00;8,00;60,00
1714753415,06;0,00;1,21;0,00;8,00;60,00
1714753415,06;0,00;1,38;0,00;8,00;60,00
1714753415,06;0,00;1,73;0,00;8,00;60,00
1714753415,06;0,00;1,76;0,00;8,00;60,00
1714753415,06;0,00;1,93;0,00;8,00;60,00
1714753415,06;0,00;2,25;0,01;8,00;60,00
1714753415,06;0,00;2,27;0,01;8,00;60,00
1714753415,06;0,00;2,45;0,01;8,00;60,00
1714753415,06;0,00;2,79;0,01;8,00;60,00
1714753415,06;0,00;2,79;0,01;8,00;60,00
1714753415,06;0,00;2,96;0,01;8,00;60,00
1714753415,06;0,00;3,32;0,01;8,00;60,00
1714753415,06;0,00;3,33;0,01;8,00;60,00
1714753415,06;0,00;3,50;0,01;8,00;60,00
1714753415,06;0,00;3,84;0,01;8,00;60,00
1714753415,06;0,00;3,84;0,01;8,00;60,00
1714753415,06;0,00;4,02;0,01;8,00;60,00
1714753415,06;0,00;4,37;0,01;8,00;60,00
1714753415,06;0,00;4,37;0,01;8,00;60,00
1714753415,06;0,00;4,54;0,01;8,00;60,00
1714753415,06;0,00;4,90;0,01;8,00;60,00
1714753415,06;0,00;4,90;0,01;8,00;60,00
1714753415,06;0,00;5,07;0,01;8,00;60,00
1714753415,06;0,00;5,42;0,01;8,00;60,00
1714753415,06;0,00;5,43;0,01;8,00;60,00
1714753415,06;0,00;5,59;0,01;8,00;60,00
1714753415,06;0,00;5,96;0,02;8,00;60,00
1714753415,06;0,00;5,96;0,02;8,00;60,00
1714753415,06;0,00;6,11;0,02;8,00;60,00
1714753415,06;0,00;6,46;0,02;8,00;60,00
