t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,59;-0,05;7,20;-0,00;8,00;60,00
1,58;-0,05;7,20;-0,00;8,00;60,00
2,55;-0,05;7,20;-0,00;8,00;60,00
3,58;-0,05;7,20;-0,00;8,00;60,00
4,56;-0,05;7,20;-0,00;8,00;60,00
5,58;-0,05;7,20;-0,00;8,00;60,00
6,60;-0,05;7,20;-0,01;8,00;60,00
7,59;-0,06;7,20;-0,01;8,00;60,00
8,60;-0,06;7,20;-0,01;8,00;60,00
9,59;-0,06;7,20;-0,01;8,00;60,00
10,62;-0,06;9,73;-0,01;8,00;60,00
11,59;-0,06;9,73;-0,01;8,00;60,00
12,61;-0,06;9,73;-0,01;8,00;60,00
13,63;-0,06;9,73;-0,01;8,00;60,00
14,62;-0,06;9,73;-0,01;8,00;60,00
15,63;-0,06;9,73;-0,01;8,00;60,00
16,65;-0,06;9,73;-0,02;8,00;60,00
17,66;-0,06;9,73;-0,02;8,00;60,00
18,64;-0,06;9,73;-0,02;8,00;60,00
19,63;-0,06;9,73;-0,02;8,00;60,00
20,62;-0,06;12,22;-0,02;8,00;60,00
21,60;-0,06;12,22;-0,02;8,00;60,00
22,67;-0,06;12,22;-0,02;8,00;60,00
23,65;-0,06;12,22;-0,02;8,00;60,00
24,65;-0,06;12,22;-0,02;8,00;60,00
25,65;-0,06;12,22;-0,02;8,00;60,00
26,63;-0,06;12,22;-0,03;8,00;60,00
27,65;-0,06;12,22;-0,03;8,00;60,00
28,65;-0,06;12,22;-0,03;8,00;60,00
29,68;-0,06;12,22;-0,03;8,00;60,00
30,69;-0,07;16,44;-0,03;8,00;60,00
31,68;-0,07;16,44;-0,03;8,00;60,00
32,67;-0,06;16,44;-0,03;8,00;60,00
33,70;-0,06;16,44;-0,03;8,00;60,00
34,70;-0,06;16,44;-0,03;8,00;60,00
35,73;-0,06;16,44;-0,03;8,00;60,00
36,71;-0,06;16,44;-0,04;8,00;60,00
37,73;-0,07;16,44;-0,04;8,00;60,00
38,73;-0,07;16,44;-0,04;8,00;60,00
39,73;-0,07;16,44;-0,04;8,00;60,00
40,73;-0,06;25,03;-0,04;8,00;60,00
41,73;-0,06;25,03;-0,04;8,00;60,00
42,74;-0,06;25,03;-0,04;8,00;60,00
43,73;-0,06;25,03;-0,04;8,00;60,00
44,78;-0,06;25,03;-0,04;8,00;60,00
45,76;-0,06;25,03;-0,05;8,00;60,00
46,78;-0,07;25,03;-0,05;8,00;60,00
47,79;-0,07;25,03;-0,05;8,00;60,00
48,83;-0,07;25,03;-0,05;8,00;60,00
49,82;-0,07;25,03;-0,05;8,00;60,00
50,81;-0,07;52,58;-0,05;8,00;60,00
51,79;-0,07;52,58;-0,05;8,00;60,00
52,81;-0,07;52,58;-0,05;8,00;60,00
53,80;-0,07;52,58;-0,05;8,00;60,00
54,86;-0,07;52,58;-0,06;8,00;60,00
55,82;-0,07;52,58;-0,06;8,00;60,00
56,82;-0,07;52,58;-0,06;8,00;60,00
57,85;-0,07;52,58;-0,06;8,00;60,00
58,85;-0,07;52,58;-0,06;8,00;60,00
59,85;-0,07;52,58;-0,06;8,00;60,00
