t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714056665,26;0,00;0,00;0,00;8,00;60,00
1714056665,26;0,00;0,05;0,00;8,00;60,00
1714056665,26;0,00;0,54;0,00;8,00;60,00
1714056665,26;0,00;1,04;0,00;8,00;60,00
1714056665,26;0,00;1,55;0,00;8,00;60,00
1714056665,26;0,00;2,07;0,01;8,00;60,00
1714056665,26;0,00;2,54;0,01;8,00;60,00
1714056665,26;0,00;3,06;0,01;8,00;60,00
1714056665,26;0,00;3,57;0,01;8,00;60,00
1714056665,26;0,00;4,06;0,01;8,00;60,00
1714056665,26;0,00;4,55;0,01;8,00;60,00
1714056665,26;0,00;5,10;0,02;8,00;60,00
1714056665,26;0,00;5,56;0,02;8,00;60,00
1714056665,26;0,00;6,06;0,02;8,00;60,00
1714056665,26;0,00;6,55;0,02;8,00;60,00
1714056665,26;0,00;7,05;0,02;8,00;60,00
1714056665,26;0,00;7,56;0,02;8,00;60,00
1714056665,26;0,00;8,70;0,03;8,00;60,00
1714056665,26;0,00;8,75;0,03;8,00;60,00
1714056665,26;0,00;8,80;0,04;8,00;60,00
1714056665,26;0,00;8,83;0,06;8,00;60,00
1714056665,26;0,00;8,84;0,08;8,00;60,00
1714056665,26;0,00;8,85;0,12;8,00;60,00
1714056665,26;0,00;8,87;0,15;8,00;60,00
1714056665,26;0,00;8,87;0,20;8,00;60,00
1714056665,26;0,00;8,87;0,24;8,00;60,00
1714056665,26;0,00;8,88;0,29;8,00;60,00
1714056665,26;0,00;8,88;0,33;8,00;60,00
1714056665,26;0,00;8,88;0,38;8,00;60,00
1714056665,26;0,00;8,88;0,42;8,00;60,00
1714056665,26;0,00;8,88;0,47;8,00;60,00
1714056665,26;0,00;8,88;0,51;8,00;60,00
1714056665,26;0,00;8,88;0,56;8,00;60,00
1714056665,26;0,00;8,88;0,61;8,00;60,00
1714056665,26;0,00;8,93;0,61;8,00;60,00
1714056665,26;0,00;8,93;0,66;8,00;60,00
