t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714407171,62;0,00;0,80;0,00;8,00;60,00
1714407171,62;0,00;0,80;0,00;8,00;60,00
1714407171,62;0,00;0,80;0,00;8,00;60,00
1714407171,62;0,00;0,80;0,00;8,00;60,00
1714407171,62;0,00;0,80;0,00;8,00;60,00
1714407171,62;0,00;0,80;0,00;8,00;60,00
1714407171,62;0,00;1,09;0,00;8,00;60,00
1714407171,62;0,00;1,09;0,00;8,00;60,00
1714407171,62;0,00;1,10;0,00;8,00;60,00
1714407171,62;0,00;1,55;0,00;8,00;60,00
1714407171,62;0,00;1,60;0,01;8,00;60,00
1714407171,62;0,00;1,60;0,01;8,00;60,00
1714407171,62;0,00;2,06;0,01;8,00;60,00
1714407171,62;0,00;2,11;0,01;8,00;60,00
1714407171,62;0,00;2,12;0,01;8,00;60,00
1714407171,62;0,00;2,60;0,01;8,00;60,00
1714407171,62;0,00;2,65;0,01;8,00;60,00
1714407171,62;0,00;2,66;0,01;8,00;60,00
1714407171,62;0,00;3,14;0,01;8,00;60,00
1714407171,62;0,00;3,17;0,01;8,00;60,00
1714407171,62;0,00;3,17;0,01;8,00;60,00
1714407171,62;0,00;3,66;0,01;8,00;60,00
1714407171,62;0,00;3,68;0,01;8,00;60,00
1714407171,62;0,00;3,69;0,01;8,00;60,00
1714407171,62;0,00;4,20;0,01;8,00;60,00
1714407171,62;0,00;4,21;0,02;8,00;60,00
1714407171,62;0,00;4,22;0,02;8,00;60,00
1714407171,62;0,00;4,69;0,02;8,00;60,00
1714407171,62;0,00;4,74;0,02;8,00;60,00
1714407171,62;0,00;4,74;0,02;8,00;60,00
1714407171,62;0,00;5,23;0,02;8,00;60,00
1714407171,62;0,00;5,26;0,02;8,00;60,00
1714407171,62;0,00;5,28;0,02;8,00;60,00
1714407171,62;0,00;5,72;0,02;8,00;60,00
1714407171,62;0,00;5,81;0,02;8,00;60,00
1714407171,62;0,00;5,82;0,02;8,00;60,00
1714407171,62;0,00;6,28;0,02;8,00;60,00
1714407171,62;0,00;6,30;0,02;8,00;60,00
1714407171,62;0,00;6,31;0,02;8,00;60,00
1714407171,62;0,00;6,80;0,02;8,00;60,00
1714407171,62;0,00;6,81;0,02;8,00;60,00
1714407171,62;0,00;6,83;0,03;8,00;60,00
1714407171,62;0,00;7,34;0,03;8,00;60,00
1714407171,62;0,00;7,35;0,03;8,00;60,00
1714407171,62;0,00;7,39;0,03;8,00;60,00
1714407171,62;0,00;7,85;0,03;8,00;60,00
1714407171,62;0,00;7,89;0,04;8,00;60,00
1714407171,62;0,00;7,89;0,04;8,00;60,00
1714407171,62;0,00;8,72;0,04;8,00;60,00
1714407171,62;0,00;8,70;0,06;8,00;60,00
1714407171,62;0,00;8,70;0,06;8,00;60,00
1714407171,62;0,00;8,73;0,09;8,00;60,00
1714407171,62;0,00;8,73;0,09;8,00;60,00
1714407171,62;0,00;8,73;0,09;8,00;60,00
1714407171,62;0,00;8,78;0,09;8,00;60,00
1714407171,62;0,00;8,75;0,12;8,00;60,00
1714407171,62;0,00;8,75;0,12;8,00;60,00
1714407171,62;0,00;8,76;0,15;8,00;60,00
