t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714054711,84;0,00;0,00;0,00;8,00;60,00
1714054711,84;0,00;0,40;0,00;8,00;60,00
1714054711,84;0,00;0,89;0,00;8,00;60,00
1714054711,84;0,00;1,39;0,00;8,00;60,00
1714054711,84;0,00;1,89;0,00;8,00;60,00
1714054711,84;0,00;2,40;0,01;8,00;60,00
1714054711,84;0,00;2,89;0,01;8,00;60,00
1714054711,84;0,00;3,40;0,01;8,00;60,00
1714054711,84;0,00;3,89;0,01;8,00;60,00
1714054711,84;0,00;4,40;0,01;8,00;60,00
1714054711,84;0,00;4,88;0,01;8,00;60,00
1714054711,84;0,00;5,40;0,02;8,00;60,00
1714054711,84;0,00;5,88;0,02;8,00;60,00
1714054711,84;0,00;6,42;0,02;8,00;60,00
1714054711,84;0,00;6,91;0,02;8,00;60,00
1714054711,84;0,00;7,40;0,02;8,00;60,00
1714054711,84;0,00;7,88;0,02;8,00;60,00
1714054711,84;0,00;8,74;0,03;8,00;60,00
1714054711,84;0,00;8,78;0,03;8,00;60,00
1714054711,84;0,00;8,84;0,03;8,00;60,00
1714054711,84;0,00;8,87;0,05;8,00;60,00
1714054711,84;0,00;8,89;0,07;8,00;60,00
1714054711,84;0,00;8,90;0,11;8,00;60,00
1714054711,84;0,00;8,91;0,15;8,00;60,00
1714054711,84;0,00;8,92;0,19;8,00;60,00
1714054711,84;0,00;8,92;0,23;8,00;60,00
1714054711,84;0,00;8,92;0,28;8,00;60,00
1714054711,84;0,00;8,92;0,32;8,00;60,00
1714054711,84;0,00;8,92;0,37;8,00;60,00
1714054711,84;0,00;8,92;0,42;8,00;60,00
1714054711,84;0,00;8,92;0,46;8,00;60,00
1714054711,84;0,00;8,92;0,51;8,00;60,00
1714054711,84;0,00;8,92;0,55;8,00;60,00
1714054711,84;0,00;8,92;0,60;8,00;60,00
1714054711,84;0,00;8,92;0,65;8,00;60,00
1714054711,84;0,00;8,92;0,70;8,00;60,00
1714054711,84;0,00;8,92;0,74;8,00;60,00
1714054711,84;0,00;8,92;0,79;8,00;60,00
1714054711,84;0,00;8,91;0,84;8,00;60,00
