t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,01;2,24;7,20;0,00;8,00;60,00
0,84;7,84;7,20;0,07;8,00;60,00
1,85;7,85;7,20;0,20;8,00;60,00
2,90;8,48;7,20;0,34;8,00;60,00
3,89;8,70;7,20;0,49;8,00;60,00
4,92;8,83;7,20;0,64;8,00;60,00
5,90;8,84;7,20;0,78;8,00;60,00
6,90;8,87;7,20;0,93;8,00;60,00
7,93;8,84;7,20;1,08;8,00;60,00
8,96;8,86;7,20;1,23;8,00;60,00
9,92;8,93;7,20;1,38;8,00;60,00
10,97;8,98;7,92;1,53;8,00;60,00
11,96;9,16;7,92;1,68;8,00;60,00
12,97;9,42;7,92;1,84;8,00;60,00
14,01;9,60;7,92;2,00;8,00;60,00
15,00;9,61;7,92;2,16;8,00;60,00
15,97;9,62;7,92;2,32;8,00;60,00
17,00;9,62;7,92;2,48;8,00;60,00
17,99;9,65;7,92;2,64;8,00;60,00
19,01;9,67;7,92;2,81;8,00;60,00
19,99;9,65;7,92;2,96;8,00;60,00
21,02;9,67;7,50;3,13;8,00;60,00
22,00;9,69;7,50;3,29;8,00;60,00
23,02;9,68;7,50;3,45;8,00;60,00
24,03;9,62;7,50;3,61;8,00;60,00
25,02;9,66;7,50;3,77;8,00;60,00
26,04;9,64;7,50;3,94;8,00;60,00
27,01;9,64;7,50;4,09;8,00;60,00
28,03;9,57;7,50;4,26;8,00;60,00
29,02;9,50;7,50;4,41;8,00;60,00
30,02;9,44;7,50;4,57;8,00;60,00
31,03;9,41;6,77;4,73;8,00;60,00
32,06;9,41;6,77;4,89;8,00;60,00
33,06;9,26;6,77;5,05;8,00;60,00
34,10;9,13;6,77;5,21;8,00;60,00
35,08;9,06;6,77;5,35;8,00;60,00
36,11;9,03;6,77;5,51;8,00;60,00
37,07;8,96;6,77;5,65;8,00;60,00
38,10;8,83;6,77;5,81;8,00;60,00
39,07;8,79;6,77;5,95;8,00;60,00
40,08;8,74;6,77;6,10;8,00;60,00
41,12;8,70;5,57;6,25;8,00;60,00
42,13;8,32;5,57;6,39;8,00;60,00
43,16;7,81;5,57;6,53;8,00;60,00
44,16;7,56;5,57;6,66;8,00;60,00
45,17;7,51;5,57;6,78;8,00;60,00
46,15;7,42;5,57;6,91;8,00;60,00
47,18;7,39;5,57;7,03;8,00;60,00
48,19;7,31;5,57;7,16;8,00;60,00
49,18;7,30;5,57;7,28;8,00;60,00
50,21;7,27;5,57;7,40;8,00;60,00
51,24;7,23;3,24;7,53;8,00;60,00
52,23;6,51;3,24;7,64;8,00;60,00
53,24;5,45;3,24;7,74;8,00;60,00
54,22;5,17;3,24;7,83;8,00;60,00
55,23;5,06;3,24;7,91;8,00;60,00
56,26;5,01;3,24;8,00;8,00;60,00
57,23;5,02;3,24;8,08;8,00;60,00
58,24;4,95;3,24;8,17;8,00;60,00
59,26;4,99;3,24;8,25;8,00;60,00
