t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1714059111,58;0,00;0,00;0,00;8,00;60,00
1714059111,58;0,00;0,29;0,00;8,00;60,00
1714059111,58;0,00;0,77;0,00;8,00;60,00
1714059111,58;0,00;1,33;0,00;8,00;60,00
1714059111,58;0,00;1,76;0,00;8,00;60,00
1714059111,58;0,00;2,34;0,00;8,00;60,00
1714059111,58;0,00;2,80;0,01;8,00;60,00
1714059111,58;0,00;3,47;0,01;8,00;60,00
1714059111,58;0,00;3,79;0,01;8,00;60,00
1714059111,58;0,00;4,28;0,01;8,00;60,00
1714059111,58;0,00;4,88;0,02;8,00;60,00
1714059111,58;0,00;5,47;0,02;8,00;60,00
1714059111,58;0,00;5,81;0,02;8,00;60,00
1714059111,58;0,00;6,29;0,02;8,00;60,00
1714059111,58;0,00;6,94;0,02;8,00;60,00
1714059111,58;0,00;7,29;0,02;8,00;60,00
1714059111,58;0,00;7,79;0,02;8,00;60,00
1714059111,58;0,00;8,75;0,02;8,00;60,00
1714059111,58;0,00;8,77;0,03;8,00;60,00
1714059111,58;0,00;8,82;0,04;8,00;60,00
1714059111,58;0,00;8,86;0,06;8,00;60,00
1714059111,58;0,00;8,86;0,09;8,00;60,00
1714059111,58;0,00;8,87;0,13;8,00;60,00
1714059111,58;0,00;8,92;0,13;8,00;60,00
1714059111,58;0,00;8,94;0,18;8,00;60,00
1714059111,58;0,00;8,92;0,23;8,00;60,00
1714059111,58;0,00;8,92;0,28;8,00;60,00
1714059111,58;0,00;8,92;0,32;8,00;60,00
1714059111,58;0,00;8,92;0,36;8,00;60,00
1714059111,58;0,00;8,91;0,41;8,00;60,00
1714059111,58;0,00;8,93;0,46;8,00;60,00
1714059111,58;0,00;8,91;0,50;8,00;60,00
1714059111,58;0,00;8,92;0,55;8,00;60,00
1714059111,58;0,00;8,97;0,55;8,00;60,00
1714059111,58;0,00;8,96;0,61;8,00;60,00
1714059111,58;0,00;8,95;0,66;8,00;60,00
1714059111,58;0,00;8,95;0,72;8,00;60,00
1714059111,58;0,00;8,93;0,77;8,00;60,00
1714059111,58;0,00;8,93;0,82;8,00;60,00
1714059111,58;0,00;8,93;0,87;8,00;60,00
1714059111,58;0,00;9,00;0,87;8,00;60,00
1714059111,58;0,00;8,99;0,92;8,00;60,00
1714059111,58;0,00;8,96;0,98;8,00;60,00
1714059111,58;0,00;8,96;1,04;8,00;60,00
1714059111,58;0,00;8,94;1,09;8,00;60,00
1714059111,58;0,00;8,95;1,14;8,00;60,00
1714059111,58;0,00;8,99;1,14;8,00;60,00
1714059111,58;0,00;8,98;1,20;8,00;60,00
1714059111,58;0,00;8,98;1,25;8,00;60,00
1714059111,58;0,00;8,99;1,29;8,00;60,00
1714059111,58;0,00;8,97;1,35;8,00;60,00
1714059111,58;0,00;8,95;1,41;8,00;60,00
1714059111,58;0,00;9,03;1,41;8,00;60,00
1714059111,58;0,00;9,01;1,48;8,00;60,00
1714059111,58;0,00;8,96;1,54;8,00;60,00
1714059111,58;0,00;9,04;1,54;8,00;60,00
1714059111,58;0,00;8,99;1,61;8,00;60,00
1714059111,58;0,00;8,98;1,68;8,00;60,00
1714059111,58;0,00;8,96;1,73;8,00;60,00
1714059111,58;0,00;8,98;1,77;8,00;60,00
1714059111,58;0,00;8,96;1,82;8,00;60,00
1714059111,58;0,00;8,96;1,88;8,00;60,00
1714059111,58;0,00;9,03;1,88;8,00;60,00
1714059111,58;0,00;8,99;1,94;8,00;60,00
1714059111,58;0,00;8,96;2,01;8,00;60,00
1714059111,58;0,00;9,03;2,01;8,00;60,00
1714059111,58;0,00;9,01;2,07;8,00;60,00
1714059111,58;0,00;8,99;2,13;8,00;60,00
1714059111,58;0,00;8,98;2,19;8,00;60,00
1714059111,58;0,00;9,07;2,19;8,00;60,00
1714059111,58;0,00;9,03;2,25;8,00;60,00
1714059111,58;0,00;9,01;2,31;8,00;60,00
1714059111,58;0,00;8,98;2,37;8,00;60,00
1714059111,58;0,00;8,96;2,43;8,00;60,00
1714059111,58;0,00;9,04;2,43;8,00;60,00
1714059111,58;0,00;9,00;2,49;8,00;60,00
1714059111,58;0,00;8,98;2,56;8,00;60,00
1714059111,58;0,00;9,07;2,56;8,00;60,00
1714059111,58;0,00;9,04;2,62;8,00;60,00
1714059111,58;0,00;9,01;2,68;8,00;60,00
1714059111,58;0,00;8,98;2,74;8,00;60,00
1714059111,58;0,00;8,98;2,80;8,00;60,00
1714059111,58;0,00;9,06;2,80;8,00;60,00
1714059111,58;0,00;9,01;2,87;8,00;60,00
1714059111,58;0,00;8,98;2,93;8,00;60,00
1714059111,58;0,00;9,08;2,93;8,00;60,00
1714059111,58;0,00;9,06;2,99;8,00;60,00
1714059111,58;0,00;9,03;3,05;8,00;60,00
1714059111,58;0,00;9,02;3,10;8,00;60,00
1714059111,58;0,00;9,12;3,10;8,00;60,00
1714059111,58;0,00;9,06;3,18;8,00;60,00
1714059111,58;0,00;9,03;3,23;8,00;60,00
1714059111,58;0,00;8,98;3,30;8,00;60,00
1714059111,58;0,00;9,12;3,30;8,00;60,00
1714059111,58;0,00;9,02;3,38;8,00;60,00
1714059111,58;0,00;9,14;3,38;8,00;60,00
1714059111,58;0,00;9,07;3,45;8,00;60,00
1714059111,58;0,00;9,04;3,51;8,00;60,00
1714059111,58;0,00;8,99;3,58;8,00;60,00
1714059111,58;0,00;9,12;3,58;8,00;60,00
1714059111,58;0,00;9,08;3,64;8,00;60,00
1714059111,58;0,00;9,03;3,71;8,00;60,00
1714059111,58;0,00;9,03;3,75;8,00;60,00
