t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
1713636451,19;0,00;0,00;0,00;8,00;60,00
1713636451,19;0,00;0,09;0,00;8,00;60,00
1713636451,19;0,00;0,34;0,00;8,00;60,00
1713636451,19;0,00;0,59;0,05;8,00;60,00
1713636451,19;0,00;0,84;0,14;8,00;60,00
1713636451,19;0,00;1,09;0,19;8,00;60,00
1713636451,19;0,00;1,34;0,21;8,00;60,00
1713636451,19;0,00;1,58;0,22;8,00;60,00
1713636451,19;0,00;1,84;0,22;8,00;60,00
1713636451,19;0,00;2,09;0,22;8,00;60,00
1713636451,19;0,00;2,35;0,22;8,00;60,00
1713636451,19;0,00;2,59;0,22;8,00;60,00
1713636451,19;0,00;2,84;0,22;8,00;60,00
1713636451,19;0,00;3,08;0,22;8,00;60,00
1713636451,19;0,00;3,34;0,22;8,00;60,00
1713636451,19;0,00;3,58;0,22;8,00;60,00
1713636451,19;0,00;3,84;0,22;8,00;60,00
1713636451,19;0,00;4,08;0,22;8,00;60,00
1713636451,19;0,00;4,34;0,22;8,00;60,00
1713636451,19;0,00;4,59;0,23;8,00;60,00
1713636451,19;0,00;4,84;0,24;8,00;60,00
1713636451,19;0,00;5,08;0,26;8,00;60,00
1713636451,19;0,00;5,33;0,27;8,00;60,00
1713636451,19;0,00;5,58;0,30;8,00;60,00
1713636451,19;0,00;5,84;0,32;8,00;60,00
1713636451,19;0,00;6,08;0,34;8,00;60,00
1713636451,19;0,00;6,34;0,37;8,00;60,00
1713636451,19;0,00;6,58;0,40;8,00;60,00
1713636451,19;0,00;6,84;0,43;8,00;60,00
1713636451,19;0,00;7,08;0,46;8,00;60,00
1713636451,19;0,00;7,34;0,46;8,00;60,00
1713636451,19;0,00;7,58;0,49;8,00;60,00
1713636451,19;0,00;7,83;0,53;8,00;60,00
1713636451,19;0,00;8,95;0,56;8,00;60,00
1713636451,19;0,00;8,96;0,60;8,00;60,00
1713636451,19;0,00;8,98;0,63;8,00;60,00
1713636451,19;0,00;8,98;0,67;8,00;60,00
1713636451,19;0,00;8,98;0,72;8,00;60,00
1713636451,19;0,00;8,99;0,76;8,00;60,00
1713636451,19;0,00;8,99;0,80;8,00;60,00
1713636451,19;0,00;8,99;0,85;8,00;60,00
1713636451,19;0,00;8,99;0,90;8,00;60,00
1713636451,19;0,00;8,99;0,94;8,00;60,00
1713636451,19;0,00;8,99;0,99;8,00;60,00
1713636451,19;0,00;8,99;1,04;8,00;60,00
1713636451,19;0,00;8,99;1,08;8,00;60,00
1713636451,19;0,00;8,99;1,13;8,00;60,00
1713636451,19;0,00;8,99;1,18;8,00;60,00
1713636451,19;0,00;8,99;1,23;8,00;60,00
1713636451,19;0,00;8,99;1,28;8,00;60,00
1713636451,19;0,00;9,05;1,28;8,00;60,00
1713636451,19;0,00;9,05;1,32;8,00;60,00
1713636451,19;0,00;9,05;1,37;8,00;60,00
1713636451,19;0,00;9,05;1,42;8,00;60,00
1713636451,19;0,00;9,05;1,47;8,00;60,00
1713636451,19;0,00;9,05;1,51;8,00;60,00
1713636451,19;0,00;9,05;1,56;8,00;60,00
1713636451,19;0,00;9,04;1,61;8,00;60,00
1713636451,19;0,00;9,04;1,66;8,00;60,00
1713636451,19;0,00;9,04;1,71;8,00;60,00
1713636451,19;0,00;9,04;1,76;8,00;60,00
1713636451,19;0,00;9,04;1,80;8,00;60,00
1713636451,19;0,00;9,04;1,85;8,00;60,00
1713636451,19;0,00;9,03;1,90;8,00;60,00
1713636451,19;0,00;9,03;1,95;8,00;60,00
1713636451,19;0,00;9,03;2,00;8,00;60,00
1713636451,19;0,00;9,03;2,05;8,00;60,00
1713636451,19;0,00;9,03;2,09;8,00;60,00
1713636451,19;0,00;9,02;2,14;8,00;60,00
1713636451,19;0,00;9,02;2,19;8,00;60,00
1713636451,19;0,00;9,02;2,24;8,00;60,00
1713636451,19;0,00;9,03;2,29;8,00;60,00
1713636451,19;0,00;9,09;2,29;8,00;60,00
