t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,33;-0,06;7,20;-0,00;8,00;60,00
1,37;-0,06;7,20;-0,00;8,00;60,00
2,35;-0,06;7,20;-0,00;8,00;60,00
3,39;-0,06;7,20;-0,00;8,00;60,00
4,36;-0,06;7,20;-0,00;8,00;60,00
5,39;-0,06;7,20;-0,01;8,00;60,00
6,39;-0,06;7,20;-0,01;8,00;60,00
7,39;-0,06;7,20;-0,01;8,00;60,00
8,39;-0,06;7,20;-0,01;8,00;60,00
9,34;-0,06;7,20;-0,01;8,00;60,00
10,34;-0,06;9,68;-0,01;8,00;60,00
11,35;-0,06;9,68;-0,01;8,00;60,00
12,36;-0,06;9,68;-0,01;8,00;60,00
13,35;-0,06;9,68;-0,01;8,00;60,00
14,39;-0,06;9,68;-0,01;8,00;60,00
15,40;-0,06;9,68;-0,02;8,00;60,00
16,39;-0,06;9,68;-0,02;8,00;60,00
17,38;-0,06;9,68;-0,02;8,00;60,00
18,42;-0,06;9,68;-0,02;8,00;60,00
19,43;-0,06;9,68;-0,02;8,00;60,00
20,42;-0,06;12,16;-0,02;8,00;60,00
21,41;-0,06;12,16;-0,02;8,00;60,00
22,41;-0,06;12,16;-0,02;8,00;60,00
23,44;-0,07;12,16;-0,02;8,00;60,00
24,46;-0,07;12,16;-0,02;8,00;60,00
25,47;-0,07;12,16;-0,03;8,00;60,00
26,43;-0,07;12,16;-0,03;8,00;60,00
27,47;-0,07;12,16;-0,03;8,00;60,00
28,44;-0,07;12,16;-0,03;8,00;60,00
29,46;-0,07;12,16;-0,03;8,00;60,00
30,46;-0,07;16,31;-0,03;8,00;60,00
31,45;-0,07;16,31;-0,03;8,00;60,00
32,45;-0,07;16,31;-0,03;8,00;60,00
33,44;-0,07;16,31;-0,04;8,00;60,00
34,43;-0,07;16,31;-0,04;8,00;60,00
35,49;-0,07;16,31;-0,04;8,00;60,00
36,47;-0,07;16,31;-0,04;8,00;60,00
37,49;-0,07;16,31;-0,04;8,00;60,00
38,47;-0,07;16,31;-0,04;8,00;60,00
39,50;-0,07;16,31;-0,04;8,00;60,00
40,48;-0,07;24,73;-0,04;8,00;60,00
41,48;-0,07;24,73;-0,04;8,00;60,00
42,49;-0,07;24,73;-0,05;8,00;60,00
43,48;-0,07;24,73;-0,05;8,00;60,00
44,50;-0,07;24,73;-0,05;8,00;60,00
45,53;-0,07;24,73;-0,05;8,00;60,00
46,55;-0,07;24,73;-0,05;8,00;60,00
47,49;-0,07;24,73;-0,05;8,00;60,00
48,52;-0,07;24,73;-0,05;8,00;60,00
49,50;-0,07;24,73;-0,05;8,00;60,00
50,54;-0,07;51,06;-0,05;8,00;60,00
51,54;-0,07;51,06;-0,06;8,00;60,00
52,57;-0,07;51,06;-0,06;8,00;60,00
53,54;-0,07;51,06;-0,06;8,00;60,00
54,57;-0,07;51,06;-0,06;8,00;60,00
55,56;-0,07;51,06;-0,06;8,00;60,00
56,55;-0,07;51,06;-0,06;8,00;60,00
57,59;-0,07;51,06;-0,06;8,00;60,00
58,59;-0,07;51,06;-0,06;8,00;60,00
59,64;-0,07;51,06;-0,07;8,00;60,00
