t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s]
0,00;0,00;7,20;0,00;8,00;60,00
0,60;11,11;7,20;0,06;8,00;60,00
1,61;12,00;7,20;0,25;8,00;60,00
2,61;11,02;7,20;0,44;8,00;60,00
3,61;9,11;7,20;0,61;8,00;60,00
4,62;8,01;7,20;0,75;8,00;60,00
5,63;8,75;7,20;0,89;8,00;60,00
6,61;10,63;7,20;1,05;8,00;60,00
7,62;11,94;7,20;1,24;8,00;60,00
8,63;11,44;7,20;1,44;8,00;60,00
9,62;9,62;7,20;1,62;8,00;60,00
10,64;8,14;7,58;1,76;8,00;60,00
11,66;8,39;7,58;1,91;8,00;60,00
12,64;10,15;7,58;2,06;8,00;60,00
13,67;11,77;7,58;2,25;8,00;60,00
14,65;11,75;7,58;2,44;8,00;60,00
15,66;10,13;7,58;2,62;8,00;60,00
16,66;8,38;7,58;2,78;8,00;60,00
17,68;8,15;7,58;2,92;8,00;60,00
18,67;9,63;7,58;3,06;8,00;60,00
19,68;11,46;7,58;3,24;8,00;60,00
20,66;11,94;6,97;3,43;8,00;60,00
21,67;10,65;6,97;3,62;8,00;60,00
22,67;8,76;6,97;3,78;8,00;60,00
23,68;8,01;6,97;3,92;8,00;60,00
24,68;9,11;6,97;4,07;8,00;60,00
25,68;11,03;6,97;4,23;8,00;60,00
26,70;12,00;6,97;4,43;8,00;60,00
27,68;11,12;6,97;4,62;8,00;60,00
28,69;9,21;6,97;4,79;8,00;60,00
29,68;8,03;6,97;4,93;8,00;60,00
30,69;8,66;5,99;5,07;8,00;60,00
31,70;10,55;5,99;5,24;8,00;60,00
32,70;11,92;5,99;5,42;8,00;60,00
33,71;11,52;5,99;5,62;8,00;60,00
34,71;9,73;5,99;5,80;8,00;60,00
35,72;8,19;5,99;5,95;8,00;60,00
36,70;8,32;5,99;6,08;8,00;60,00
37,69;9,98;5,99;6,23;8,00;60,00
38,71;11,68;5,99;6,42;8,00;60,00
39,71;11,82;5,99;6,61;8,00;60,00
40,72;10,25;3,74;6,80;8,00;60,00
41,72;8,46;3,74;6,95;8,00;60,00
42,73;8,09;3,74;7,09;8,00;60,00
43,74;9,50;3,74;7,24;8,00;60,00
44,75;11,36;3,74;7,42;8,00;60,00
45,74;11,97;3,74;7,61;8,00;60,00
46,74;10,75;3,74;7,80;8,00;60,00
47,76;8,84;3,74;7,97;8,00;60,00
48,75;8,00;3,74;8,10;8,00;60,00
49,74;9,00;3,74;8,25;8,00;60,00
50,73;10,90;-2,65;8,41;8,00;60,00
51,75;11,99;-2,65;8,60;8,00;60,00
52,73;11,26;-2,65;8,79;8,00;60,00
53,74;9,36;-2,65;8,97;8,00;60,00
54,74;8,06;-2,65;9,11;8,00;60,00
55,76;8,57;-2,65;9,25;8,00;60,00
56,77;10,42;-2,65;9,41;8,00;60,00
57,75;11,86;-2,65;9,60;8,00;60,00
58,75;11,62;-2,65;9,79;8,00;60,00
59,76;9,87;-2,65;9,97;8,00;60,00
